"scenario_index","return_code","elapsed_seconds","log_file","command"
"21","0","256.4516949000008","outputs/revised_model/main_run/logs/scenario_021.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""21"",""--reuse-gate-files""]"
"22","0","264.3951259000005","outputs/revised_model/main_run/logs/scenario_022.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""22"",""--reuse-gate-files""]"
"23","0","94.9924880999988","outputs/revised_model/main_run/logs/scenario_023.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""23"",""--reuse-gate-files""]"
"24","0","127.62358660000064","outputs/revised_model/main_run/logs/scenario_024.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""24"",""--reuse-gate-files""]"
"25","0","155.9555622000007","outputs/revised_model/main_run/logs/scenario_025.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""25"",""--reuse-gate-files""]"
"26","0","82.73203310000099","outputs/revised_model/main_run/logs/scenario_026.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""26"",""--reuse-gate-files""]"
"27","0","196.65798469999936","outputs/revised_model/main_run/logs/scenario_027.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""27"",""--reuse-gate-files""]"
"28","0","189.64478469999997","outputs/revised_model/main_run/logs/scenario_028.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""28"",""--reuse-gate-files""]"
"29","0","192.37381829999867","outputs/revised_model/main_run/logs/scenario_029.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""29"",""--reuse-gate-files""]"
"30","0","174.6314878000012","outputs/revised_model/main_run/logs/scenario_030.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""30"",""--reuse-gate-files""]"
