gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000001373,S000001373,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001374,HOS4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001375,SDP1,Unknown,null | viable,3,./data\raw\sgd\phenotype_data.tab
S000001376,POR2,Ambiguous,"null | viability: increased | cisplatin (0.5mM) | clonogenic survival, the ratio of the number of CFUs after CDDP treatment in null cells vs parental controls, is increased ; null | viable",2,./data\raw\sgd\phenotype_data.tab
S000001377,NUP159,Essential,null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001378,HIS5,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001379,PRM5,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001380,RHO3,Ambiguous,"null | viable ; null | inviable ; null | vegetative growth: normal | anaerobic conditions (YPD plus ergosterol and Tween-80 in the absence of O2) | heterozygous null mutants were sporulated, dissected, and incubated anaerobically to test growth of haploid null mutant strains that are inviable under standard aerobic conditions",4,./data\raw\sgd\phenotype_data.tab
S000001381,RPI1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001382,QDR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001383,QDR2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001384,POG1,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001385,S000001385,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001386,AYR1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",5,./data\raw\sgd\phenotype_data.tab
S000001387,KGD1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001388,STH1,Essential,null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001389,RRT14,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001390,MET18,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001391,TAO3,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001392,ASG1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001393,FKH1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001394,CSM2,Unknown,null | viable ; null | sporulation: decreased | 47% of the spores are viable,3,./data\raw\sgd\phenotype_data.tab
S000001395,S000001395,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001396,FLX1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001397,VHS2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001398,OM45,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001399,TMA108,Ambiguous,null | viable ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001400,TPM2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001401,REV7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001402,AXL2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001403,YIL141W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001404,CCT2,Essential,"null | inviable | germinated spores arrest as large, budded cells ; null | inviable",3,./data\raw\sgd\phenotype_data.tab
S000001405,SSL2,Ambiguous,reduction of function | viable | doxorubicin ; unspecified | viable ; unspecified | inviable,14,./data\raw\sgd\phenotype_data.tab
S000001406,NDC80,Essential,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; reduction of function | inviable ; null | inviable",3,./data\raw\sgd\phenotype_data.tab
S000001407,PAN6,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001408,ATG32,Ambiguous,null | viable | nitrogen starvation | nonessential for autophagy; viable after 3 day nitrogen starvation followed by transfer to rich media plates ; null | viable,3,./data\raw\sgd\phenotype_data.tab
S000001409,SLN1,Ambiguous,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; null | viable | minimal medium (SD) ; null | inviable | rich medium (YPD)",4,./data\raw\sgd\phenotype_data.tab
S000001410,S000001410,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001411,MLP2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001412,MCM10,Ambiguous,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; reduction of function | viable ; null | inviable",5,./data\raw\sgd\phenotype_data.tab
S000001413,ESL1,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001414,VPR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001415,RRD1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000001416,IMP21,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001417,GUT2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001418,UBP7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001419,COA1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001420,AIM20,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001421,BNR1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001422,POT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001423,SMU2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001424,SUC2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001425,YIL163C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001426,NIT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001427,YIL165C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001428,SOA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001429,SDL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001431,CSS1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001432,HXT12,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001433,YIL171W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001434,IMA3,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001435,VTH1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000001436,YIL174W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001437,YIL175W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001438,PAU14,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001439,S000001439,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001440,SGN1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001441,MPH1,Ambiguous,null | viability: decreased ; null | viable,3,./data\raw\sgd\phenotype_data.tab
S000001442,AIM21,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001443,DJP1,Essential,overexpression | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001444,IST3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001445,PAN1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001446,EGH1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001447,PRI1,Essential,"null | inviable ; null | vegetative growth: normal | anaerobic conditions (YPD plus ergosterol and Tween-80 in the absence of O2) | heterozygous null mutants were sporulated, dissected, and incubated anaerobically to test growth of haploid null mutant strains that are inviable under standard aerobic conditions",3,./data\raw\sgd\phenotype_data.tab
S000001448,MSL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001449,DSN1,Essential,reduction of function | inviable ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001450,STS1,Ambiguous,reduction of function | viable ; reduction of function | inviable ; null | inviable,4,./data\raw\sgd\phenotype_data.tab
S000001451,SQT1,Essential,unspecified | inviable ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001452,GAT4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001453,VLD1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001454,RPR2,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001455,YIR016W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001456,MET28,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001457,YAP5,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001458,S000001458,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001459,YIR020C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001460,MRS1,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000001461,SEC11,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001462,DAL81,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001463,INA22,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001464,MND2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001465,YVH1,Ambiguous,null | viable ; null | resistance to chemicals: increased | bis(S-citronellalthiosemicarbazonato)nickel(II) (150µM) | resistant to a nearly lethal concentration of Ni(S-tcitr)2,3,./data\raw\sgd\phenotype_data.tab
S000001466,DAL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001467,DAL4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001468,DAL2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001469,DCG1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001470,DAL7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001471,DAL3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001472,MGA2,Ambiguous,"overexpression | viability: decreased | toxic when overexpressed ; null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid",4,./data\raw\sgd\phenotype_data.tab
S000001473,LYS1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001474,NRE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001475,IRC24,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001476,HYR1,Ambiguous,"null | oxidative stress resistance: decreased | hydrogen peroxide | decreased viability in high concentrations of H2O2 after exposure to low concentrations ; null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",4,./data\raw\sgd\phenotype_data.tab
S000001477,GTT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001478,YPS6,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001479,YIR040C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001480,PAU15,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000001481,YIR042C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001482,YIR043C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001484,MET14,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001485,S000001485,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001486,MRP17,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001487,AUR1,Essential,null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001488,BYE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001489,S000001489,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001490,CAP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001491,LAC1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001492,MRT4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001493,UFD4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001494,CCE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001495,PRP40,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001496,ARC19,Essential,null | spore germination: decreased | 52% spore viability ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001497,URB1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001498,PUT3,Ambiguous,null | viability: decreased ; null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001499,ATP7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001500,HCS1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001501,SWD2,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001502,RAM2,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001503,SPT23,Ambiguous,overexpression | viability: decreased | toxic when overexpressed ; null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001504,MAK11,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001505,CDC16,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001506,SKA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001507,URA6,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001508,PAN3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001509,GPX1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001510,TCD2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001511,TFA1,Essential,null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001512,MAE1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001513,YKL030W,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001514,YKL031W,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001515,IXR1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001516,TTI1,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001517,TUL1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",4,./data\raw\sgd\phenotype_data.tab
S000001518,UGP1,Essential,repressible | oxidative stress resistance: decreased | hydrogen peroxide (1mM) | decreased viability partially reversed by trehalose supplemented media ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001519,YKL036C,Ambiguous,null | viable ; null | inviable ; null | innate thermotolerance: decreased | stationary phase | heat shock (50°C) | sensitivity scale of -1 (least) to -4 (most) sensitive: -4; partially overlaps essential gene UGP1 gene and AIM26,3,./data\raw\sgd\phenotype_data.tab
S000001520,AIM26,Ambiguous,null | viable ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001521,RGT1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001522,PTM1,Ambiguous,"null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid",2,./data\raw\sgd\phenotype_data.tab
S000001523,NFU1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001524,VPS24,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001525,SPC42,Essential,overexpression | inviable ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001526,PHD1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001527,MMO1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001528,PRI2,Essential,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; null | inviable ; reduction of function | inviable",4,./data\raw\sgd\phenotype_data.tab
S000001529,DCW1,Ambiguous,null | chemical compound accumulation: increased | lithium(1+) | lithium chloride (100mM) | increase in the accumulation of Li+ relative to wt cells treated with a nonlethal EC10 concentration of LiCl ; null | viable,3,./data\raw\sgd\phenotype_data.tab
S000001530,ANR2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001531,ELM1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000001532,CSE4,Ambiguous,"overexpression | inviable | overexpression of a completely stable version of Cse4 is toxic ; null | inviable ; reduction of function | inviable | H207A, R210A, T212A, D217A, and L220A substitutions in histone fold domain also cause lethality",7,./data\raw\sgd\phenotype_data.tab
S000001533,LPX2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001534,SFK1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001535,ASK1,Essential,repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; reduction of function | resistance to chemicals: decreased | hydroxyurea (150mM) | increased HU sensitivity with loss of viability over time ; conditional | inviable | permissive temperature (24°C) | ploidy-specific lethality; tetraploid derivative of the ts allele is temperature sensitive at 24°C and above,4,./data\raw\sgd\phenotype_data.tab
S000001536,YKL053W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001537,DEF1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001538,OAR1,Ambiguous,"null | viable ; null | desiccation resistance: decreased | cultures grown to saturation and then desiccated | decreased viability, attributed to defective respiratory growth ; null | desiccation resistance: decreased | cultures grown to saturation and then desiccated | decreased viability",3,./data\raw\sgd\phenotype_data.tab
S000001539,TMA19,Ambiguous,null | viable ; null | cell death: decreased | hydrogen peroxide (4mM) | viability increased relative to wt after treatment with H2O2,2,./data\raw\sgd\phenotype_data.tab
S000001540,NUP120,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001541,TOA2,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001542,MPE1,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001543,FBA1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001544,BLI1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001545,MSN4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001546,YKL063C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001547,MNR2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001548,YET1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001549,YKL066W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001550,YNK1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001551,NUP100,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001552,YKL069W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001553,YKL070W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001554,OSI1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001555,STB6,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001556,LHS1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001557,MUD2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001558,AAN1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000001559,PSY1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001560,PSG1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001561,DHR2,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001562,SMY1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000001563,VMA5,Ambiguous,null | viable ; null | resistance to chemicals: decreased | sodium dodecyl sulfate (0.02%) | increased sensitivity to local plasma membrane and cell wall damage resulting from treatment with SDS; loss of viability after 30 min. in SDS-containing media,2,./data\raw\sgd\phenotype_data.tab
S000001564,S000001564,Ambiguous,null | viability: decreased ; null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001565,RRP14,Ambiguous,null | viable ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001566,YKL083W,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001567,HOT13,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001568,MDH1,Ambiguous,"null | viable ; null | desiccation resistance: decreased | cultures grown to saturation and then desiccated | decreased viability, attributed to defective respiratory growth ; null | desiccation resistance: decreased | cultures grown to saturation and then desiccated | decreased viability",3,./data\raw\sgd\phenotype_data.tab
S000001569,SRX1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001570,CYT2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001571,CAB3,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001572,MIF2,Essential,conditional | viability: decreased | hydroxyurea (200mM) | elevated temperature (35°C) | reduced viability after treatment with hydroxyurea at 24 deg C and 35 deg C ; conditional | viability: decreased | elevated temperature (37°C) | arrested cells rapidly lose viability; pre-incubation with alpha factor rescues the lose of viability suggesting that MIF2 has a stage-specific function ; conditional | resistance to chemicals: decreased | carbendazim (20ug/ml) | semi-permissive temperature (32°C) | viability reduced relative to the wildtype control,10,./data\raw\sgd\phenotype_data.tab
S000001573,CUE2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001574,YKL091C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001575,BUD2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001576,MBR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001577,YJU3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001578,YJU2,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001579,CWP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001580,YKL097C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001581,MTC2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001582,UTP11,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001583,YPF1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001584,HSL1,Ambiguous,null | viable ; overexpression | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001585,YKL102C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001586,APE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001587,GFA1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001588,SEG2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001589,AAT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001590,YKL107W,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001591,SLD2,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000001592,HAP4,Ambiguous,null | viable ; null | replicative lifespan: decreased | 2% glucose without nonessential amino acids,4,./data\raw\sgd\phenotype_data.tab
S000001593,KTI12,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001594,YKL111C,Essential,null | inviable ; null | innate thermotolerance: increased | exponential phase | heat shock (50°C) | resistance scale of 1 (least) to 4 (most) resistant: 2; partially overlaps the essential gene ABF1,2,./data\raw\sgd\phenotype_data.tab
S000001595,ABF1,Essential,null | inviable ; overexpression | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001596,RAD27,Ambiguous,"null | viable ; null | inviable | elevated temperature (37°C) | ploidy-specific thermosensitive; tetraploid derivative of the homozygous gene deletion collection strain is temperature sensitive at 37°C ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",4,./data\raw\sgd\phenotype_data.tab
S000001597,APN1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001598,YKL115C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001599,PRR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001600,SBA1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001601,YKL118W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001602,VPH2,Ambiguous,null | viable ; null | resistance to chemicals: decreased | cisplatin (80uM) | 100 fold reduction in viability ; null | resistance to chemicals: decreased | daunorubicin (10uM) | 10 fold reduction in viability,4,./data\raw\sgd\phenotype_data.tab
S000001603,OAC1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001604,DGR2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001605,SRP21,Ambiguous,repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; null | viable ; null | inviable,4,./data\raw\sgd\phenotype_data.tab
S000001606,YKL123W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001607,SSH4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001608,RRN3,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000001609,YPK1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001610,PGM1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001611,PMU1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001612,MYO3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001613,SHE2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001614,YKL131W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001615,RMA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001616,RCI50,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001617,OCT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001618,APL2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001619,YKL136W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001620,CMC1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001621,MRPL31,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000001622,CTK1,Ambiguous,null | viable ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000001623,TGL1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000001624,SDH3,Ambiguous,"null | viable | viable with poor growth when URA3 is deleted, but not when prototrophic for uracil ; null | inviable",2,./data\raw\sgd\phenotype_data.tab
S000001625,MRP8,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
