gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000000056,BDH1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000057,BDH2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000058,GDH3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000059,FLO9,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000060,YAL064W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000061,YAL066W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000062,SEO1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000063,NUP60,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000064,SWD1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000065,RFA1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000066,SEN34,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000067,YAR009C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000068,YAR010C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000069,BUD14,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000070,ADE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000071,KIN3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000072,CDC15,Essential,conditional | inviable | permissive temperature (24°C) | ploidy-specific lethality; tetraploid derivative of the ts allele is lethal at 24°C and above ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000073,PAU7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000074,DFP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000075,UIP3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000076,KTD1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000077,DFP2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000078,PRM9,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000079,MST28,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000080,YAT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000081,SWH1,Unknown,null | viable,3,./data\raw\sgd\phenotype_data.tab
S000000083,YAR047C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000084,FLO1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000085,YAR053W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000086,YAR060C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000087,YAR061W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000089,YAR064W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000091,YAR068W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000092,YAR069C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000093,YAR070C,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000094,PHO11,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000095,IMD1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000097,ECM15,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000098,HTB2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000099,HTA2,Ambiguous,null | viable ; overexpression | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000100,UTP20,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000101,PDR3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000102,LDB7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000103,SLA1,Ambiguous,"null | bud morphology: abnormal | hydroxyurea (100mM) | mild defect in formation of elongated buds in response to stress, such as after treatment with a sub-lethal dosage of HU ; overexpression | viability: decreased | 2% galactose (galactose to induce overexpression) ; null | oxidative stress resistance: decreased | hydrogen peroxide | decreased viability in high concentrations of H2O2 after exposure to low concentrations",5,./data\raw\sgd\phenotype_data.tab
S000000104,HIR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000105,ALK2,Unknown,null | viable,3,./data\raw\sgd\phenotype_data.tab
S000000106,LAA2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000107,SCT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000108,YBL012C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000109,FMT1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000110,RRN6,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000111,ACH1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000112,FUS3,Ambiguous,"null | viable ; null | survival rate in stationary phase: decreased | reduced temperature (4°C) | >99% loss in viability after, 3 days at 30 deg C, followed by 4 weeks at 4 deg C",2,./data\raw\sgd\phenotype_data.tab
S000000113,PEP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000114,S000000114,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000115,APN2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000116,RFT1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000117,HAP3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000118,PIM1,Ambiguous,"null | viable ; repressible | protein/peptide accumulation: increased | strong accumulation of Dpi34p after depletion of Pim1p, indicating an essential role in maintaining low levels of Dpi34p | Dpi34-9xMyc",4,./data\raw\sgd\phenotype_data.tab
S000000119,MCM2,Ambiguous,null | inviable ; null | chronological lifespan: abnormal | delayed chronological aging; exhibits delayed senescence during the initial 14 days; incapable of forming colonies beyond 21 days while wt cells remain viable; increased cell size from the onset with declining viability and reduction in ploidy over time,4,./data\raw\sgd\phenotype_data.tab
S000000120,NCL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000121,RRN10,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000000122,S000000122,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000123,S000000123,Ambiguous,null | viable ; null | resistance to chemicals: increased | bis(S-citronellalthiosemicarbazonato)nickel(II) (150µM) | resistant to a nearly lethal concentration of Ni(S-tcitr)2,2,./data\raw\sgd\phenotype_data.tab
S000000124,YBL028C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000125,YBL029W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000126,PET9,Essential,"repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; null | viable | W303 background contains full-length SAL1 which suppresses the pet9 null mutations; other strain backgrounds contain a truncated sal1-1, rendering the pet9 null mutant inviable ; null | inviable",4,./data\raw\sgd\phenotype_data.tab
S000000127,SHE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000128,HEK2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000129,RIB1,Ambiguous,"null | viable ; overexpression | resistance to chemicals: increased | NOC-5 (0.5mM) | acidified medium, pH 5.5 | elevated resistance to nitrosative stress, based on increased viability in the presence of nitric oxide generated by NOC-5 ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress",3,./data\raw\sgd\phenotype_data.tab
S000000130,STU1,Essential,"null | inviable | null mutant germinates and undergoes one to two cell divisions, arresting with large buds; a percentage of these contain undivided DNA at the mother-bud neck ; null | inviable ; null | vegetative growth: absent | lethal in strains containing two chromosomes, including both the 2B (2-chromosome Boeke lab strain) and 2Q (2-chromosome Qin lab strain)",3,./data\raw\sgd\phenotype_data.tab
S000000131,POL12,Essential,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; null | inviable ; conditional | cell cycle progression in S phase: arrested | elevated temperature (37°C) | dumbbell-shaped, large-budded arrest with a single nucleus at the bud neck; large increase in proportion of cells with a nearly 2C DNA content; reciprocal shift indicates an essential role just prior to the hydroxyurea sensitive step",4,./data\raw\sgd\phenotype_data.tab
S000000132,YBL036C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
