model_key,precursor_event_type,n_trajectories,trajectory_fraction_with_any_final_pair_hazard_increase,trajectory_fraction_ci_low,trajectory_fraction_ci_high,trajectory_fraction_with_pair_activation,median_of_trajectory_max_log2_probability_ratio
ALL,inversion,162430,0.05292741488641261,0.05184915234532177,0.054026823401890925,0.0,0.0
linear_distance,inversion,77044,0.04780385234411505,0.046319752267114135,0.04933304370069517,0.0,0.0
partial_hic_fallback,inversion,85386,0.057550418101328084,0.056008133815021795,0.05913251161599361,0.0,0.0
ALL,duplication,74133,0.04410991056614463,0.042655246495664316,0.045611819244592115,0.04636261853695385,-0.0126797944399062
linear_distance,duplication,35647,0.05602154459000758,0.053681798535663294,0.05845697001033277,0.058462142676803094,-0.0178366794104531
partial_hic_fallback,duplication,38486,0.03307696305149924,0.031336329807131885,0.03491079832273336,0.03515564101231617,-0.0092165978340418
