scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,linear_distance,1.0,0.1,duplication_only_history,259
scenario,linear_distance,1.0,0.1,earlier_deletion_only,318
scenario,linear_distance,1.0,0.1,earlier_deletion_with_nondeletion,246
scenario,linear_distance,1.0,0.1,inversion_only_history,918
scenario,linear_distance,1.0,0.1,mixed_inversion_duplication,165
scenario,linear_distance,1.0,0.12,deletion_only,2701
scenario,linear_distance,1.0,0.12,duplication_only_history,312
scenario,linear_distance,1.0,0.12,earlier_deletion_only,289
scenario,linear_distance,1.0,0.12,earlier_deletion_with_nondeletion,399
scenario,linear_distance,1.0,0.12,inversion_only_history,1091
scenario,linear_distance,1.0,0.12,mixed_inversion_duplication,223
scenario,linear_distance,1.0,0.15,deletion_only,2833
scenario,linear_distance,1.0,0.15,duplication_only_history,389
scenario,linear_distance,1.0,0.15,earlier_deletion_only,421
scenario,linear_distance,1.0,0.15,earlier_deletion_with_nondeletion,633
scenario,linear_distance,1.0,0.15,inversion_only_history,1320
scenario,linear_distance,1.0,0.15,mixed_inversion_duplication,356
scenario,linear_distance,1.0,0.18,deletion_only,2867
scenario,linear_distance,1.0,0.18,duplication_only_history,392
scenario,linear_distance,1.0,0.18,earlier_deletion_only,492
scenario,linear_distance,1.0,0.18,earlier_deletion_with_nondeletion,837
scenario,linear_distance,1.0,0.18,inversion_only_history,1478
scenario,linear_distance,1.0,0.18,mixed_inversion_duplication,457
scenario,linear_distance,1.0,0.2,deletion_only,2948
scenario,linear_distance,1.0,0.2,duplication_only_history,424
scenario,linear_distance,1.0,0.2,earlier_deletion_only,517
scenario,linear_distance,1.0,0.2,earlier_deletion_with_nondeletion,939
scenario,linear_distance,1.0,0.2,inversion_only_history,1582
scenario,linear_distance,1.0,0.2,mixed_inversion_duplication,524
scenario,linear_distance,1.0,0.25,deletion_only,2928
scenario,linear_distance,1.0,0.25,duplication_only_history,475
scenario,linear_distance,1.0,0.25,earlier_deletion_only,471
scenario,linear_distance,1.0,0.25,earlier_deletion_with_nondeletion,1323
scenario,linear_distance,1.0,0.25,inversion_only_history,1786
scenario,linear_distance,1.0,0.25,mixed_inversion_duplication,647
scenario,linear_distance,1.0,0.3,deletion_only,2891
scenario,linear_distance,1.0,0.3,duplication_only_history,477
scenario,linear_distance,1.0,0.3,earlier_deletion_only,517
scenario,linear_distance,1.0,0.3,earlier_deletion_with_nondeletion,1710
scenario,linear_distance,1.0,0.3,inversion_only_history,1915
scenario,linear_distance,1.0,0.3,mixed_inversion_duplication,808
scenario,linear_distance,1.5,0.03,deletion_only,997
scenario,linear_distance,1.5,0.03,duplication_only_history,35
scenario,linear_distance,1.5,0.03,earlier_deletion_only,62
scenario,linear_distance,1.5,0.03,earlier_deletion_with_nondeletion,16
scenario,linear_distance,1.5,0.03,inversion_only_history,107
scenario,linear_distance,1.5,0.03,mixed_inversion_duplication,7
scenario,linear_distance,1.5,0.05,deletion_only,1333
scenario,linear_distance,1.5,0.05,duplication_only_history,94
scenario,linear_distance,1.5,0.05,earlier_deletion_only,134
scenario,linear_distance,1.5,0.05,earlier_deletion_with_nondeletion,49
scenario,linear_distance,1.5,0.05,inversion_only_history,273
scenario,linear_distance,1.5,0.05,mixed_inversion_duplication,24
scenario,linear_distance,1.5,0.07,deletion_only,1667
scenario,linear_distance,1.5,0.07,duplication_only_history,136
scenario,linear_distance,1.5,0.07,earlier_deletion_only,199
scenario,linear_distance,1.5,0.07,earlier_deletion_with_nondeletion,127
scenario,linear_distance,1.5,0.07,inversion_only_history,450
scenario,linear_distance,1.5,0.07,mixed_inversion_duplication,58
scenario,linear_distance,1.5,0.09,deletion_only,1897
scenario,linear_distance,1.5,0.09,duplication_only_history,198
scenario,linear_distance,1.5,0.09,earlier_deletion_only,317
scenario,linear_distance,1.5,0.09,earlier_deletion_with_nondeletion,221
scenario,linear_distance,1.5,0.09,inversion_only_history,534
scenario,linear_distance,1.5,0.09,mixed_inversion_duplication,90
scenario,linear_distance,1.5,0.1,deletion_only,1857
scenario,linear_distance,1.5,0.1,duplication_only_history,214
scenario,linear_distance,1.5,0.1,earlier_deletion_only,358
scenario,linear_distance,1.5,0.1,earlier_deletion_with_nondeletion,312
scenario,linear_distance,1.5,0.1,inversion_only_history,713
scenario,linear_distance,1.5,0.1,mixed_inversion_duplication,113
scenario,linear_distance,1.5,0.12,deletion_only,1958
scenario,linear_distance,1.5,0.12,duplication_only_history,256
scenario,linear_distance,1.5,0.12,earlier_deletion_only,412
scenario,linear_distance,1.5,0.12,earlier_deletion_with_nondeletion,440
scenario,linear_distance,1.5,0.12,inversion_only_history,794
scenario,linear_distance,1.5,0.12,mixed_inversion_duplication,165
scenario,linear_distance,1.5,0.15,deletion_only,2053
scenario,linear_distance,1.5,0.15,duplication_only_history,307
scenario,linear_distance,1.5,0.15,earlier_deletion_only,466
scenario,linear_distance,1.5,0.15,earlier_deletion_with_nondeletion,697
scenario,linear_distance,1.5,0.15,inversion_only_history,978
scenario,linear_distance,1.5,0.15,mixed_inversion_duplication,263
scenario,linear_distance,1.5,0.18,deletion_only,2105
scenario,linear_distance,1.5,0.18,duplication_only_history,329
scenario,linear_distance,1.5,0.18,earlier_deletion_only,520
scenario,linear_distance,1.5,0.18,earlier_deletion_with_nondeletion,1004
scenario,linear_distance,1.5,0.18,inversion_only_history,1071
scenario,linear_distance,1.5,0.18,mixed_inversion_duplication,378
scenario,linear_distance,1.5,0.2,deletion_only,2078
scenario,linear_distance,1.5,0.2,duplication_only_history,362
scenario,linear_distance,1.5,0.2,earlier_deletion_only,517
scenario,linear_distance,1.5,0.2,earlier_deletion_with_nondeletion,1131
scenario,linear_distance,1.5,0.2,inversion_only_history,1210
scenario,linear_distance,1.5,0.2,mixed_inversion_duplication,413
scenario,linear_distance,1.5,0.25,deletion_only,2127
scenario,linear_distance,1.5,0.25,duplication_only_history,337
scenario,linear_distance,1.5,0.25,earlier_deletion_only,613
scenario,linear_distance,1.5,0.25,earlier_deletion_with_nondeletion,1705
scenario,linear_distance,1.5,0.25,inversion_only_history,1376
scenario,linear_distance,1.5,0.25,mixed_inversion_duplication,531
scenario,linear_distance,1.5,0.3,deletion_only,2113
scenario,linear_distance,1.5,0.3,duplication_only_history,365
scenario,linear_distance,1.5,0.3,earlier_deletion_only,641
scenario,linear_distance,1.5,0.3,earlier_deletion_with_nondeletion,2193
scenario,linear_distance,1.5,0.3,inversion_only_history,1390
scenario,linear_distance,1.5,0.3,mixed_inversion_duplication,640
scenario,linear_distance,2.0,0.03,deletion_only,718
scenario,linear_distance,2.0,0.03,duplication_only_history,27
scenario,linear_distance,2.0,0.03,earlier_deletion_only,55
scenario,linear_distance,2.0,0.03,earlier_deletion_with_nondeletion,17
scenario,linear_distance,2.0,0.03,inversion_only_history,96
scenario,linear_distance,2.0,0.03,mixed_inversion_duplication,1
scenario,linear_distance,2.0,0.05,deletion_only,1011
scenario,linear_distance,2.0,0.05,duplication_only_history,67
scenario,linear_distance,2.0,0.05,earlier_deletion_only,143
scenario,linear_distance,2.0,0.05,earlier_deletion_with_nondeletion,55
scenario,linear_distance,2.0,0.05,inversion_only_history,161
scenario,linear_distance,2.0,0.05,mixed_inversion_duplication,8
scenario,linear_distance,2.0,0.07,deletion_only,1240
scenario,linear_distance,2.0,0.07,duplication_only_history,80
scenario,linear_distance,2.0,0.07,earlier_deletion_only,218
scenario,linear_distance,2.0,0.07,earlier_deletion_with_nondeletion,127
scenario,linear_distance,2.0,0.07,inversion_only_history,303
scenario,linear_distance,2.0,0.07,mixed_inversion_duplication,44
scenario,linear_distance,2.0,0.09,deletion_only,1373
scenario,linear_distance,2.0,0.09,duplication_only_history,150
scenario,linear_distance,2.0,0.09,earlier_deletion_only,284
scenario,linear_distance,2.0,0.09,earlier_deletion_with_nondeletion,215
scenario,linear_distance,2.0,0.09,inversion_only_history,473
scenario,linear_distance,2.0,0.09,mixed_inversion_duplication,81
scenario,linear_distance,2.0,0.1,deletion_only,1363
scenario,linear_distance,2.0,0.1,duplication_only_history,158
scenario,linear_distance,2.0,0.1,earlier_deletion_only,316
scenario,linear_distance,2.0,0.1,earlier_deletion_with_nondeletion,309
scenario,linear_distance,2.0,0.1,inversion_only_history,479
scenario,linear_distance,2.0,0.1,mixed_inversion_duplication,90
scenario,linear_distance,2.0,0.12,deletion_only,1482
scenario,linear_distance,2.0,0.12,duplication_only_history,201
scenario,linear_distance,2.0,0.12,earlier_deletion_only,374
scenario,linear_distance,2.0,0.12,earlier_deletion_with_nondeletion,429
scenario,linear_distance,2.0,0.12,inversion_only_history,570
