scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,partial_hic_fallback,1.5,0.15,duplication_only_history,326
scenario,partial_hic_fallback,1.5,0.15,earlier_deletion_only,405
scenario,partial_hic_fallback,1.5,0.15,earlier_deletion_with_nondeletion,583
scenario,partial_hic_fallback,1.5,0.15,inversion_only_history,1325
scenario,partial_hic_fallback,1.5,0.15,mixed_inversion_duplication,355
scenario,partial_hic_fallback,1.5,0.18,deletion_only,2848
scenario,partial_hic_fallback,1.5,0.18,duplication_only_history,433
scenario,partial_hic_fallback,1.5,0.18,earlier_deletion_only,450
scenario,partial_hic_fallback,1.5,0.18,earlier_deletion_with_nondeletion,753
scenario,partial_hic_fallback,1.5,0.18,inversion_only_history,1615
scenario,partial_hic_fallback,1.5,0.18,mixed_inversion_duplication,443
scenario,partial_hic_fallback,1.5,0.2,deletion_only,2874
scenario,partial_hic_fallback,1.5,0.2,duplication_only_history,463
scenario,partial_hic_fallback,1.5,0.2,earlier_deletion_only,467
scenario,partial_hic_fallback,1.5,0.2,earlier_deletion_with_nondeletion,971
scenario,partial_hic_fallback,1.5,0.2,inversion_only_history,1620
scenario,partial_hic_fallback,1.5,0.2,mixed_inversion_duplication,527
scenario,partial_hic_fallback,1.5,0.25,deletion_only,2969
scenario,partial_hic_fallback,1.5,0.25,duplication_only_history,467
scenario,partial_hic_fallback,1.5,0.25,earlier_deletion_only,491
scenario,partial_hic_fallback,1.5,0.25,earlier_deletion_with_nondeletion,1351
scenario,partial_hic_fallback,1.5,0.25,inversion_only_history,1822
scenario,partial_hic_fallback,1.5,0.25,mixed_inversion_duplication,683
scenario,partial_hic_fallback,1.5,0.3,deletion_only,2927
scenario,partial_hic_fallback,1.5,0.3,duplication_only_history,469
scenario,partial_hic_fallback,1.5,0.3,earlier_deletion_only,531
scenario,partial_hic_fallback,1.5,0.3,earlier_deletion_with_nondeletion,1652
scenario,partial_hic_fallback,1.5,0.3,inversion_only_history,1905
scenario,partial_hic_fallback,1.5,0.3,mixed_inversion_duplication,801
scenario,partial_hic_fallback,2.0,0.03,deletion_only,1347
scenario,partial_hic_fallback,2.0,0.03,duplication_only_history,39
scenario,partial_hic_fallback,2.0,0.03,earlier_deletion_only,60
scenario,partial_hic_fallback,2.0,0.03,earlier_deletion_with_nondeletion,9
scenario,partial_hic_fallback,2.0,0.03,inversion_only_history,135
scenario,partial_hic_fallback,2.0,0.03,mixed_inversion_duplication,8
scenario,partial_hic_fallback,2.0,0.05,deletion_only,1956
scenario,partial_hic_fallback,2.0,0.05,duplication_only_history,97
scenario,partial_hic_fallback,2.0,0.05,earlier_deletion_only,142
scenario,partial_hic_fallback,2.0,0.05,earlier_deletion_with_nondeletion,40
scenario,partial_hic_fallback,2.0,0.05,inversion_only_history,354
scenario,partial_hic_fallback,2.0,0.05,mixed_inversion_duplication,20
scenario,partial_hic_fallback,2.0,0.07,deletion_only,2318
scenario,partial_hic_fallback,2.0,0.07,duplication_only_history,154
scenario,partial_hic_fallback,2.0,0.07,earlier_deletion_only,170
scenario,partial_hic_fallback,2.0,0.07,earlier_deletion_with_nondeletion,100
scenario,partial_hic_fallback,2.0,0.07,inversion_only_history,595
scenario,partial_hic_fallback,2.0,0.07,mixed_inversion_duplication,66
scenario,partial_hic_fallback,2.0,0.09,deletion_only,2515
scenario,partial_hic_fallback,2.0,0.09,duplication_only_history,257
scenario,partial_hic_fallback,2.0,0.09,earlier_deletion_only,244
scenario,partial_hic_fallback,2.0,0.09,earlier_deletion_with_nondeletion,215
scenario,partial_hic_fallback,2.0,0.09,inversion_only_history,785
scenario,partial_hic_fallback,2.0,0.09,mixed_inversion_duplication,103
scenario,partial_hic_fallback,2.0,0.1,deletion_only,2566
scenario,partial_hic_fallback,2.0,0.1,duplication_only_history,292
scenario,partial_hic_fallback,2.0,0.1,earlier_deletion_only,258
scenario,partial_hic_fallback,2.0,0.1,earlier_deletion_with_nondeletion,286
scenario,partial_hic_fallback,2.0,0.1,inversion_only_history,927
scenario,partial_hic_fallback,2.0,0.1,mixed_inversion_duplication,148
scenario,partial_hic_fallback,2.0,0.12,deletion_only,2816
scenario,partial_hic_fallback,2.0,0.12,duplication_only_history,311
scenario,partial_hic_fallback,2.0,0.12,earlier_deletion_only,316
scenario,partial_hic_fallback,2.0,0.12,earlier_deletion_with_nondeletion,372
scenario,partial_hic_fallback,2.0,0.12,inversion_only_history,1147
scenario,partial_hic_fallback,2.0,0.12,mixed_inversion_duplication,225
scenario,partial_hic_fallback,2.0,0.15,deletion_only,2830
scenario,partial_hic_fallback,2.0,0.15,duplication_only_history,398
scenario,partial_hic_fallback,2.0,0.15,earlier_deletion_only,413
scenario,partial_hic_fallback,2.0,0.15,earlier_deletion_with_nondeletion,581
scenario,partial_hic_fallback,2.0,0.15,inversion_only_history,1353
scenario,partial_hic_fallback,2.0,0.15,mixed_inversion_duplication,368
scenario,partial_hic_fallback,2.0,0.18,deletion_only,2918
scenario,partial_hic_fallback,2.0,0.18,duplication_only_history,412
scenario,partial_hic_fallback,2.0,0.18,earlier_deletion_only,457
scenario,partial_hic_fallback,2.0,0.18,earlier_deletion_with_nondeletion,825
scenario,partial_hic_fallback,2.0,0.18,inversion_only_history,1519
scenario,partial_hic_fallback,2.0,0.18,mixed_inversion_duplication,462
scenario,partial_hic_fallback,2.0,0.2,deletion_only,2930
scenario,partial_hic_fallback,2.0,0.2,duplication_only_history,445
scenario,partial_hic_fallback,2.0,0.2,earlier_deletion_only,442
scenario,partial_hic_fallback,2.0,0.2,earlier_deletion_with_nondeletion,914
scenario,partial_hic_fallback,2.0,0.2,inversion_only_history,1672
scenario,partial_hic_fallback,2.0,0.2,mixed_inversion_duplication,537
scenario,partial_hic_fallback,2.0,0.25,deletion_only,2910
scenario,partial_hic_fallback,2.0,0.25,duplication_only_history,495
scenario,partial_hic_fallback,2.0,0.25,earlier_deletion_only,506
scenario,partial_hic_fallback,2.0,0.25,earlier_deletion_with_nondeletion,1306
scenario,partial_hic_fallback,2.0,0.25,inversion_only_history,1825
scenario,partial_hic_fallback,2.0,0.25,mixed_inversion_duplication,696
scenario,partial_hic_fallback,2.0,0.3,deletion_only,2984
scenario,partial_hic_fallback,2.0,0.3,duplication_only_history,471
scenario,partial_hic_fallback,2.0,0.3,earlier_deletion_only,487
scenario,partial_hic_fallback,2.0,0.3,earlier_deletion_with_nondeletion,1614
scenario,partial_hic_fallback,2.0,0.3,inversion_only_history,1915
scenario,partial_hic_fallback,2.0,0.3,mixed_inversion_duplication,822
overall,ALL,,,deletion_only,215447
overall,ALL,,,duplication_only_history,26090
overall,ALL,,,earlier_deletion_only,27015
overall,ALL,,,earlier_deletion_with_nondeletion,49483
overall,ALL,,,inversion_only_history,94112
overall,ALL,,,mixed_inversion_duplication,26561
