model_key,precursor_event_type,n_sampled_events,hazard_increase_events,hazard_decrease_events,hazard_unchanged_events,hazard_increase_fraction,hazard_decrease_fraction,median_hazard_log2_ratio_nonzero,q025_hazard_log2_ratio_nonzero,q975_hazard_log2_ratio_nonzero
ALL,duplication,4385,146,4239,0,0.03329532497149373,0.9667046750285063,-0.0138793597580141,-0.7483216588870802,0.00013004950612441956
ALL,inversion,4400,1833,707,1860,0.41659090909090907,0.16068181818181818,0.0,-0.004504334684017215,0.02074500900381028
linear_distance,duplication,2185,82,2103,0,0.037528604118993135,0.9624713958810068,-0.0122837457102678,-0.6460594399120317,0.0002252522961727801
linear_distance,inversion,2200,546,476,1178,0.24818181818181817,0.21636363636363637,0.0,-0.005646317006872567,0.005336849767533941
partial_hic_fallback,duplication,2200,64,2136,0,0.02909090909090909,0.9709090909090909,-0.0160258561194303,-0.8065708689908405,4.768251420941428e-05
partial_hic_fallback,inversion,2200,1287,231,682,0.585,0.105,0.0013366591925094498,-0.002766886938760245,0.02411493700648617
