scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,1.5,0.05,duplication,137,133,0.4744525547445255,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.004012618647735732,0.05166316663844993,-0.0127861094900907,0.0,50,0.02,-0.007413536818362151
scenario,linear_distance,1.5,0.05,inversion,378,337,0.42592592592592593,0.0,0.010582010582010581,0.010582010582010581,0.004122618060904406,0.02688883590029225,0.0,0.0,50,0.14,0.0
scenario,linear_distance,1.5,0.07,duplication,240,229,0.525,0.0125,0.0125,0.0125,0.004260067321970977,0.03610000462104887,-0.0128460930944578,0.0,50,0.02,-0.008525503217786
scenario,linear_distance,1.5,0.07,inversion,714,610,0.484593837535014,0.0,0.011204481792717087,0.011204481792717087,0.005688189138699468,0.021952257894397042,0.0,0.0,50,0.24,0.0
scenario,linear_distance,1.5,0.09,duplication,402,366,0.4527363184079602,0.01990049751243781,0.01990049751243781,0.01990049751243781,0.01011762872248036,0.03877205070640305,-0.0124673181194895,0.0,50,0.0,-0.0107373651277416
scenario,linear_distance,1.5,0.09,inversion,978,804,0.44171779141104295,0.0,0.0081799591002045,0.010224948875255624,0.005563346091958942,0.018719045537062808,0.0,0.0,50,0.18,0.0
scenario,linear_distance,1.5,0.1,duplication,456,424,0.4342105263157895,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.00604395821900912,0.028405869035194986,-0.0101819585470084,0.0,50,0.02,-0.01233641538426805
scenario,linear_distance,1.5,0.1,inversion,1366,1085,0.4355783308931186,0.0,0.00951683748169839,0.010248901903367497,0.006114794271066432,0.0171298364237197,0.0,0.0,50,0.18,0.0
scenario,linear_distance,1.5,0.12,duplication,627,560,0.4944178628389155,0.014354066985645933,0.014354066985645933,0.014354066985645933,0.007569761307696321,0.027052977124119693,-0.0096647342057165,0.0,50,0.0,-0.0103746096908654
scenario,linear_distance,1.5,0.12,inversion,1723,1329,0.4619849100406268,0.0,0.00812536273940801,0.009866511897852582,0.006169265500598293,0.015744418947617966,0.0,0.0,50,0.18,0.0
scenario,linear_distance,1.5,0.15,duplication,954,843,0.46016771488469604,0.01781970649895178,0.01781970649895178,0.01781970649895178,0.011155097461013784,0.028351919563792155,-0.0101178161827363,0.0,50,0.02,-0.0052547561187558
scenario,linear_distance,1.5,0.15,inversion,2537,1820,0.4406779661016949,0.0,0.012219156484036263,0.013795821836815136,0.009936312883977685,0.019125499912074094,0.0,0.0,50,0.12,0.0
scenario,linear_distance,1.5,0.18,duplication,1289,1107,0.4491854150504267,0.017067494181536073,0.017067494181536073,0.017067494181536073,0.011297815598668258,0.025707076605464958,-0.01014003181487115,0.0,50,0.02,-0.005055110510297851
scenario,linear_distance,1.5,0.18,inversion,3375,2295,0.45185185185185184,0.0,0.01362962962962963,0.01451851851851852,0.010999679253557208,0.019141261084093173,0.0,0.0,50,0.18,0.0
scenario,linear_distance,1.5,0.2,duplication,1437,1203,0.44676409185803756,0.013917884481558803,0.013917884481558803,0.013221990257480862,0.008480788899583768,0.020558810540413395,-0.0101182916308606,0.0,50,0.06,-0.007976808671466499
scenario,linear_distance,1.5,0.2,inversion,3976,2592,0.4507042253521127,0.0,0.01232394366197183,0.014336016096579477,0.011082036508273538,0.018527549712684343,0.0,0.0,50,0.1,0.0
scenario,linear_distance,1.5,0.25,duplication,2025,1655,0.4365432098765432,0.016296296296296295,0.016296296296296295,0.016296296296296295,0.011627193628489685,0.02279711218261638,-0.0101178161827363,0.0,50,0.04,-0.008969236051133849
