scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_072,partial_hic_fallback,1.5,0.12,1352135446,8170,scenario_072:8170,1,1,inversion,SynII,SynII_loxPsym_9@0,SynII_loxPsym_255@0,2,20,SynII,SynII_loxPsym_200@0,SynII_loxPsym_137@0,S000000291;S000000292;S000000293;S000000295;S000000306;S000000313;S000000314;S000000325;S000000328;S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371,1,True,True,True,True,False,63.0,63.0,0.0,True,True,False,False,1.0325919118401302e-05,1.0325919118401302e-05,0.0,False,0.0,5.47613734875355e-07,5.47613734875355e-07,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.6725214922150557,0.0351340026250993,0.035665784509152,True,0.0216727633221517,0.0,1.0
scenario_071,partial_hic_fallback,1.5,0.1,920122771,1212,scenario_071:1212,1,3,inversion,SynII,SynII_loxPsym_200@0,SynII_loxPsym_218@0,3,15,SynII,SynII_loxPsym_49@0,SynII_loxPsym_147@0,S000000100;S000000110;S000000114;S000000116;S000000122;S000000126;S000000208;S000000215;S000000233;S000000242;S000000253;S000000259;S000000274;S000000313;S000000314;S000000325;S000000328;S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371;S000000394;S000000396;S000000397;S000000400;S000000402;S000000415,2,True,False,True,True,False,98.0,98.0,0.0,True,True,False,False,6.843498337703043e-06,6.843498337703043e-06,0.0,False,0.0,3.024423008863563e-07,3.024423008863563e-07,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.6724799407062496,0.029278335520916,0.029719650759115,True,0.0215836241521137,0.0,1.0
scenario_069,partial_hic_fallback,1.5,0.07,2312135107,4747,scenario_069:4747,2,11,inversion,SynII,SynII_loxPsym_204@0,SynII_loxPsym_256@0,3,20,SynII,SynII_loxPsym_24@0,SynII_loxPsym_115@0,S000000100;S000000110;S000000114;S000000116;S000000122;S000000126;S000000130;S000000131;S000000136;S000000137;S000000146;S000000208;S000000215;S000000233;S000000242;S000000253;S000000259,1,True,True,True,True,False,91.0,91.0,0.0,True,True,False,False,9.64165880791118e-06,9.64165880791118e-06,0.0,False,0.0,2.982731537629369e-07,2.982731537629369e-07,False,no_direct_effect_on_final_pair,True,0.6682847957750523,0.6783460102997332,0.0206739750512732,0.0209852275283366,True,0.0215582984333471,0.0,1.0
scenario_085,partial_hic_fallback,2.0,0.18,3604147398,937,scenario_085:937,2,11,inversion,SynII,SynII_loxPsym_22@0,SynII_loxPsym_87@0,3,19,SynII,SynII_loxPsym_104@0,SynII_loxPsym_109@0,S000000253,1,True,True,True,True,False,5.0,5.0,0.0,True,True,False,False,0.0002346486616427,0.0002346486616427,0.0,False,0.0,1.866615869913709e-05,1.866615869913709e-05,False,no_direct_effect_on_final_pair,True,0.6731021636711808,0.6832036083462372,0.0535448688258357,0.0543484326223436,True,0.0214901003956172,0.0,1.0
scenario_052,partial_hic_fallback,0.5,0.18,4293388631,91,scenario_052:91,2,2,inversion,SynII,SynII_loxPsym_213@0,SynII_loxPsym_247@0,5,20,SynII,SynII_loxPsym_64@0,SynII_loxPsym_91@0,S000000100;S000000208;S000000215,3,True,False,True,True,False,27.0,27.0,0.0,True,True,False,False,2.3311306668762806e-05,2.3311306668762806e-05,0.0,False,0.0,1.8544003051927431e-06,1.8544003051927431e-06,False,no_direct_effect_on_final_pair,True,0.6955202217778876,0.7059053714386726,0.0553282117497487,0.05615434410578,True,0.0213823384546688,0.0,1.0
scenario_082,partial_hic_fallback,2.0,0.1,1477168291,9687,scenario_082:9687,1,15,inversion,SynII,SynII_loxPsym_40@0,SynII_loxPsym_84@0,2,16,SynII,SynII_loxPsym_10@0,SynII_loxPsym_12@0,S000000188;S000000193,1,True,True,True,True,False,2.0,2.0,0.0,True,True,False,False,0.000304271061998,0.000304271061998,0.0,False,0.0,1.3446988008577964e-05,1.3446988008577964e-05,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6811965495551462,0.0296657859432248,0.0301048735072031,True,0.0211970506160727,0.0,1.0
scenario_070,partial_hic_fallback,1.5,0.09,1859482873,7312,scenario_070:7312,2,10,inversion,SynII,SynII_loxPsym_156@0,SynII_loxPsym_255@0,4,19,SynVI,SynVI_loxPsym_64@0,SynVI_loxPsym_65@0,S000001948,2,False,False,True,True,False,1.0,1.0,0.0,True,True,False,False,0.0001168012494729,0.0001168012494729,0.0,False,0.0,4.645734272797341e-06,4.645734272797341e-06,False,no_direct_effect_on_final_pair,True,0.6625210744636982,0.6722991254676693,0.0263515747988594,0.0267404938119289,True,0.0211369262008011,0.0,1.0
scenario_076,partial_hic_fallback,1.5,0.25,1135711084,2732,scenario_076:2732,1,4,inversion,SynII,SynII_loxPsym_111@0,SynII_loxPsym_194@0,2,10,SynII,SynII_loxPsym_111@0,SynII_loxPsym_206@0,S000000259;S000000274;S000000283;S000000284;S000000291;S000000292;S000000293;S000000295;S000000306;S000000313;S000000314;S000000325;S000000328;S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371,1,True,True,True,True,False,95.0,95.0,0.0,True,True,False,False,5.793665795122774e-06,5.793665795122774e-06,0.0,False,0.0,6.401147217315023e-07,6.401147217315023e-07,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.6722648062602378,0.0731958388022902,0.0742753577107281,True,0.0211220147623265,0.0,1.0
scenario_071,partial_hic_fallback,1.5,0.1,920122771,2014,scenario_071:2014,3,16,inversion,SynII,SynII_loxPsym_180@0,SynII_loxPsym_199@0,4,17,SynII,SynII_loxPsym_191@0,SynII_loxPsym_220@0,S000000371;S000000394;S000000396;S000000397;S000000400;S000000402;S000000415,1,True,True,True,True,False,29.0,32.0,3.0,True,True,False,False,3.0465190416824222e-05,3.0193869415678943e-05,-2.713210011452828e-07,False,-0.0129061041956213,1.3463818988371192e-06,1.3343911093584285e-06,False,distance_lengthening,True,0.6617375651455918,0.6713874705818795,0.0292449010592939,0.0296713700170501,True,0.0208864337644342,-0.0129061041956213,0.991094065146711
scenario_079,partial_hic_fallback,2.0,0.05,3032681791,1967,scenario_079:1967,1,1,inversion,SynII,SynII_loxPsym_88@0,SynII_loxPsym_121@0,2,4,SynII,SynII_loxPsym_116@0,SynII_loxPsym_107@0,S000000253;S000000259,1,True,True,True,True,False,9.0,9.0,0.0,True,True,False,False,6.977272818704401e-05,6.977272818704401e-05,0.0,False,0.0,1.5417717233705566e-06,1.5417717233705566e-06,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6810484832108041,0.0148328929716124,0.0150491649236356,True,0.0208834292389961,0.0,1.0
