model_key,precursor_event_type,total_hazard_sampled,total_hazard_log2_ratio_nonzero
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.003689036652628
linear_distance,duplication,True,-0.0035816684190308
linear_distance,inversion,True,-0.0107364442425943
linear_distance,duplication,True,-0.0330060435533533
linear_distance,duplication,True,-0.9288406884813116
linear_distance,duplication,True,-0.0586715023826452
linear_distance,duplication,True,-1.1209004953032278
linear_distance,duplication,True,-0.0958662318188965
linear_distance,duplication,True,-0.0442335835213719
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0009232990293975
linear_distance,duplication,True,-0.0058588099248251
linear_distance,duplication,True,0.0007142705307967
linear_distance,duplication,True,-0.0980122603130907
linear_distance,duplication,True,-0.3526833276820555
linear_distance,inversion,True,0.0008212231916622
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,duplication,True,0.0004119003111288
linear_distance,duplication,True,-0.0456857276227336
linear_distance,duplication,True,-0.0308985782157655
linear_distance,inversion,True,0.0009775411383994
linear_distance,inversion,True,0.0021181795208107
linear_distance,inversion,True,6.406853007629834e-16
linear_distance,duplication,True,-0.0031097110598072
linear_distance,inversion,True,-0.0014520126783272
linear_distance,duplication,True,-0.1198767986433926
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0002011333532747
linear_distance,inversion,True,-8.887468207153046e-05
linear_distance,duplication,True,-0.0793780314790777
linear_distance,inversion,True,0.0009775411384
linear_distance,duplication,True,-0.2674473844248287
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.1284215810080621
linear_distance,duplication,True,-0.0010105000176781
linear_distance,inversion,True,-0.0025596339171309
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.2315425837785474
linear_distance,duplication,True,-0.780317160389061
linear_distance,inversion,True,-0.0012536375070499
linear_distance,duplication,True,-0.4183660223985964
linear_distance,inversion,True,-0.0003569127979996
linear_distance,duplication,True,-0.0414801897232168
linear_distance,inversion,True,-0.0055121897582651
linear_distance,inversion,True,0.0011070625714253
linear_distance,inversion,True,-0.0030175505976923
linear_distance,inversion,True,0.0004712313947424
linear_distance,duplication,True,-0.1781641830632785
linear_distance,duplication,True,-0.3260415375598081
linear_distance,duplication,True,-0.0018316714969838
linear_distance,duplication,True,-0.1102350163641134
linear_distance,inversion,True,0.001849908259846
linear_distance,duplication,True,-0.018624296921705
linear_distance,duplication,True,-0.3185973029943253
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0005176137321528
linear_distance,inversion,True,-0.0030365004934343
linear_distance,inversion,True,0.0005389554591903
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0006220541076498
linear_distance,inversion,True,0.0002532984323618
linear_distance,duplication,True,0.0002248308236717
linear_distance,duplication,True,-0.1955905319358096
