robustness_index,analysis_family,gate_name,model_key,alpha,p_event,seed,endpoint_type,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,effective_shannon_mean,effective_shannon_ci_low,effective_shannon_ci_high,inverse_simpson_mean
19,five_seed_robustness,strict,partial_hic_fallback,2.0,0.12,202609,structural,4843,100,4006.68,1701.9961094052633,1684.7153424199412,1718.6614677745208,41.816824195307646
20,five_seed_robustness,strict,partial_hic_fallback,2.0,0.12,202610,orf_copy_number,4843,100,2078.19,96.86519409956146,96.20222800141677,97.69270042449901,4.236253404995108
20,five_seed_robustness,strict,partial_hic_fallback,2.0,0.12,202610,structural,4843,100,3954.73,1568.6847623783656,1560.1557532514933,1579.1232032301912,36.66370582394588
21,essentiality_gate_sensitivity,strict,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1882.56,92.51895206246327,86.37518620722715,99.37758171318356,4.298306704661053
21,essentiality_gate_sensitivity,strict,linear_distance,2.0,0.09,202606,structural,4843,100,3644.49,1196.807303643421,1143.4239114594197,1251.0072021344429,26.904351959914642
22,essentiality_gate_sensitivity,strict,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2329.87,209.00869511020144,199.533016456023,219.34416210214755,6.636953962792753
22,essentiality_gate_sensitivity,strict,linear_distance,2.0,0.12,202606,structural,4843,100,4130.77,2248.4449510043382,2177.9332571887458,2318.8392110839022,76.15217623538274
23,essentiality_gate_sensitivity,high_confidence,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1700.03,65.80624655719693,61.79404484128777,69.1509576214919,3.6851169137909654
23,essentiality_gate_sensitivity,high_confidence,linear_distance,2.0,0.09,202606,structural,4843,100,3538.51,1041.772737399232,985.4088626457572,1090.711827644738,22.83205181109435
24,essentiality_gate_sensitivity,high_confidence,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2105.05,147.81265288756137,140.27976014085093,154.72338412873245,5.5063321238754215
24,essentiality_gate_sensitivity,high_confidence,linear_distance,2.0,0.12,202606,structural,4843,100,4045.19,2066.4442180498277,2007.0873261725667,2137.8389896986646,64.54789738987316
25,essentiality_gate_sensitivity,expanded,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1453.95,40.28290001968001,38.49914241857908,42.60746412821845,3.003990749335997
25,essentiality_gate_sensitivity,expanded,linear_distance,2.0,0.09,202606,structural,4843,100,3381.85,831.0112371514628,784.0988347730153,868.9550593314848,17.86557783628981
26,essentiality_gate_sensitivity,expanded,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,1834.22,87.73725996392382,84.81756762214282,90.3737951802853,4.218184850244559
26,essentiality_gate_sensitivity,expanded,linear_distance,2.0,0.12,202606,structural,4843,100,3930.7,1802.8703226989703,1763.8538676431742,1841.7233189212052,50.02491157457481
