"analysis_family","model_key","alpha","p_event","gate_name","seed","robustness_index","run_subdir","return_code","elapsed_seconds","log_file","command"
"five_seed_robustness","partial_hic_fallback","2.0","0.09","strict","202607","12","robustness/scenarios/robustness_012","0","182.39605380000103","outputs/revised_model/robustness/logs/robustness_012.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202607"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_012"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.09","strict","202608","13","robustness/scenarios/robustness_013","0","144.50351899999987","outputs/revised_model/robustness/logs/robustness_013.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202608"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_013"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.09","strict","202609","14","robustness/scenarios/robustness_014","0","132.61042309999902","outputs/revised_model/robustness/logs/robustness_014.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202609"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_014"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.09","strict","202610","15","robustness/scenarios/robustness_015","0","141.00775860000067","outputs/revised_model/robustness/logs/robustness_015.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202610"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_015"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.12","strict","202606","16","robustness/scenarios/robustness_016","0","150.48469939999995","outputs/revised_model/robustness/logs/robustness_016.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_016"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.12","strict","202607","17","robustness/scenarios/robustness_017","0","121.58866699999999","outputs/revised_model/robustness/logs/robustness_017.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202607"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_017"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.12","strict","202608","18","robustness/scenarios/robustness_018","0","124.00643970000056","outputs/revised_model/robustness/logs/robustness_018.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202608"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_018"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.12","strict","202609","19","robustness/scenarios/robustness_019","0","123.86296050000055","outputs/revised_model/robustness/logs/robustness_019.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202609"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_019"",""--reuse-gate-files""]"
"five_seed_robustness","partial_hic_fallback","2.0","0.12","strict","202610","20","robustness/scenarios/robustness_020","0","121.80127849999917","outputs/revised_model/robustness/logs/robustness_020.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202610"",""--model-key"",""partial_hic_fallback"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_020"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","strict","202606","21","robustness/scenarios/robustness_021","0","106.28774080000039","outputs/revised_model/robustness/logs/robustness_021.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_021"",""--reuse-gate-files""]"
