scenario_index,model_key,alpha,p_event,seed,gate_passing_trajectories,common_rarefied_depth,provenance_unique_endpoints,unlabeled_topology_unique_endpoints,unique_inflation_ratio,provenance_effective_shannon,unlabeled_topology_effective_shannon,effective_shannon_inflation_ratio,copy_identity_normalized_unique_endpoints,copy_identity_unique_inflation_ratio,copy_identity_normalized_effective_shannon,copy_identity_effective_shannon_inflation_ratio,reference_alias_normalized_unique_endpoints,reference_alias_unique_inflation_ratio,reference_alias_normalized_effective_shannon,reference_alias_effective_shannon_inflation_ratio,provenance_inverse_simpson,unlabeled_topology_inverse_simpson,provenance_rarefied_effective_shannon_mean,unlabeled_topology_rarefied_effective_shannon_mean,paired_rarefied_effective_shannon_inflation_mean,paired_rarefied_effective_shannon_inflation_ci_low,paired_rarefied_effective_shannon_inflation_ci_high,copy_identity_normalized_rarefied_effective_shannon_mean,copy_identity_paired_rarefied_inflation_mean,copy_identity_paired_rarefied_inflation_ci_low,copy_identity_paired_rarefied_inflation_ci_high,reference_alias_normalized_rarefied_effective_shannon_mean,reference_alias_paired_rarefied_inflation_mean,reference_alias_paired_rarefied_inflation_ci_low,reference_alias_paired_rarefied_inflation_ci_high,unlabeled_topology_rarefied_ci_low,unlabeled_topology_rarefied_ci_high,topology_groups_merging_multiple_provenance_ids,max_provenance_ids_per_topology,fraction_trajectories_in_merged_topology_groups
11,linear_distance,0.5,0.3,3346694520,1144,1144,1139,1139,1.0,1133.2997986435084,1133.2997986435084,1.0,1139,1.0,1133.2997986435084,1.0,1139,1.0,1133.2997986435084,1.0,1114.7666098807492,1114.7666098807492,1133.2997986435082,1133.2997986435082,1.0,1.0,1.0,1133.2997986435082,1.0,1.0,1.0,1133.2997986435082,1.0,1.0,1.0,1133.2997986435084,1133.2997986435084,0,1,0.0
12,linear_distance,1.0,0.03,280539570,8436,1144,2836,2836,1.0,31.863736883331452,31.863736883331452,1.0,2836,1.0,31.863736883331452,1.0,2836,1.0,31.863736883331452,1.0,2.40009615750405,2.40009615750405,16.12889087267687,16.12889087267687,1.0,0.9999999999999996,1.0000000000000007,16.12889087267687,1.0,0.9999999999999996,1.0000000000000007,16.12889087267687,1.0,0.9999999999999996,1.0000000000000007,13.36129242837698,19.10997434604557,0,1,0.0
13,linear_distance,1.0,0.05,4156490522,7486,1144,3714,3713,1.0002693239967682,147.21958583628566,147.19232551225525,1.0001852020744664,3713,1.0002693239967682,147.19232551225525,1.0001852020744664,3714,1.0,147.21958583628566,1.0,4.422754153972863,4.422753455875689,56.652121769081525,56.650774520112456,1.0000242506058274,0.9999999999999991,1.0000000000000009,56.650774520112456,1.0000242506058274,0.9999999999999991,1.0000000000000009,56.652121769081525,1.0,0.9999999999999991,1.0000000000000009,48.463055454879175,67.1750470132358,1,2,0.0002671653753673524
14,linear_distance,1.0,0.07,1740433454,6733,1144,4201,4201,1.0,426.9898170399976,426.9898170399976,1.0,4201,1.0,426.9898170399976,1.0,4201,1.0,426.9898170399976,1.0,8.139361505965294,8.139361505965294,141.6145989799417,141.61459897994166,1.0,0.999999999999999,1.0000000000000009,141.6145989799417,1.0,0.999999999999999,1.0000000000000009,141.6145989799417,1.0,0.999999999999999,1.0000000000000009,122.05669698588459,165.9581942719076,0,1,0.0
15,linear_distance,1.0,0.09,1595675989,5895,1144,4237,4237,1.0,840.7750553129854,840.7750553129854,1.0,4237,1.0,840.7750553129854,1.0,4237,1.0,840.7750553129854,1.0,14.605597456389415,14.605597456389415,257.4480590788416,257.4480590788415,1.0,0.9999999999999991,1.0000000000000009,257.4480590788415,1.0,0.9999999999999991,1.0000000000000009,257.4480590788415,1.0,0.9999999999999991,1.0000000000000009,220.26588877022832,298.93476589666346,0,1,0.0
16,linear_distance,1.0,0.1,3958821903,5578,1144,4263,4263,1.0,1155.8102818536127,1155.8102818536127,1.0,4263,1.0,1155.8102818536127,1.0,4263,1.0,1155.8102818536127,1.0,20.97722001682811,20.97722001682811,341.9486171719782,341.9486171719781,1.0,0.9999999999999991,1.0000000000000009,341.948617171978,1.0000000000000002,0.9999999999999991,1.000000000000001,341.948617171978,1.0000000000000002,0.9999999999999991,1.000000000000001,301.42337362234446,387.78718118455987,0,1,0.0
17,linear_distance,1.0,0.12,2778378777,4985,1144,4173,4173,1.0,1821.723418410887,1821.723418410887,1.0,4173,1.0,1821.723418410887,1.0,4173,1.0,1821.723418410887,1.0,44.54028035925846,44.54028035925846,529.4755401851037,529.4755401851037,1.0,0.9999999999999996,1.000000000000001,529.4755401851037,1.0000000000000002,1.0,1.000000000000001,529.4755401851037,1.0000000000000002,1.0,1.000000000000001,478.0638817520097,577.1925278051059,0,1,0.0
18,linear_distance,1.0,0.15,1037225636,4048,1144,3675,3675,1.0,2435.7680350883675,2435.7680350883675,1.0,3675,1.0,2435.7680350883675,1.0,3675,1.0,2435.7680350883675,1.0,133.45417229977366,133.45417229977366,770.3047443483962,770.3047443483963,1.0,0.9999999999999991,1.0000000000000009,770.304744348396,1.0000000000000002,0.9999999999999991,1.0000000000000009,770.304744348396,1.0000000000000002,0.9999999999999991,1.0000000000000009,715.4052790606042,829.1671047763991,0,1,0.0
19,linear_distance,1.0,0.18,1673311115,3477,1144,3286,3286,1.0,2637.375824975089,2637.375824975089,1.0,3286,1.0,2637.375824975089,1.0,3286,1.0,2637.375824975089,1.0,331.77444496281475,331.77444496281475,924.8811340950438,924.8811340950438,1.0,0.9999999999999991,1.0000000000000009,924.8811340950438,1.0,0.9999999999999991,1.0000000000000009,924.8811340950438,1.0,0.9999999999999991,1.0000000000000009,875.4510398991226,972.8617420171082,0,1,0.0
20,linear_distance,1.0,0.2,3518261095,3066,1144,2937,2937,1.0,2527.013231507423,2527.013231507423,1.0,2937,1.0,2527.013231507423,1.0,2937,1.0,2527.013231507423,1.0,533.9897750511249,533.9897750511249,981.5362373274102,981.5362373274102,1.0,0.9999999999999991,1.0000000000000009,981.5362373274104,1.0,0.9999999999999991,1.0000000000000009,981.5362373274104,1.0,0.9999999999999991,1.0000000000000009,943.8007395747418,1022.3212855248089,0,1,0.0
