model_key,model_name,alpha,p_event,seed,endpoint_type,sample_size,unique_endpoints,shannon_entropy,effective_shannon_diversity,inverse_simpson_diversity,sample_size_standardized,original_survivor_depth,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,unique_endpoints_ci_low,unique_endpoints_ci_high,shannon_entropy_mean,shannon_entropy_ci_low,shannon_entropy_ci_high,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,inverse_simpson_diversity_mean,inverse_simpson_diversity_ci_low,inverse_simpson_diversity_ci_high,full_sample_rank,rarefied_rank
linear_distance,linear-distance sampling,0.5,0.03,3697332404,structural,8007,2561,3.1829263596145694,24.117226064186053,2.197612600394626,False,8007,1144,100,372.62,344.475,400.09999999999997,2.5576446504816372,2.367096323448546,2.7387426702815136,12.969226527737964,10.666377523042735,15.468389555570528,2.1999498086016893,2.043798105417046,2.359943688534885,87.0,87.0
linear_distance,linear-distance sampling,0.5,0.03,3697332404,orf_copy_number,8007,1035,1.3221865648674604,3.75161556622659,1.3334033741160911,False,8007,1144,100,151.01,131.475,172.52499999999998,1.0505238540702972,0.9162414787476362,1.1966635043199187,2.866803341153207,2.4998831816780234,3.309058432406272,1.3272043140256042,1.2763928342041728,1.3849689131356329,87.0,87.0
linear_distance,linear-distance sampling,0.5,0.05,1368124422,structural,6889,3230,4.540485178925515,93.7362679503313,3.65080099299761,False,6889,1144,100,544.13,510.9,570.5749999999999,3.6907449353993784,3.470866150763099,3.8647780715070854,40.27157473741078,32.1657033169977,47.69276547884172,3.6478902123745938,3.2615384155078275,3.9929601113414503,80.0,80.0
linear_distance,linear-distance sampling,0.5,0.05,1368124422,orf_copy_number,6889,1349,1.9987421274604984,7.379767451363063,1.5912719101434023,False,6889,1144,100,237.48,214.325,258.525,1.6551490709980496,1.5047695629432234,1.7990672373520646,5.253259284650429,4.503513167910514,6.044007367798224,1.5994446319026259,1.5239849249800232,1.6779463691219527,81.0,81.0
linear_distance,linear-distance sampling,0.5,0.07,2525498675,structural,5848,3464,5.560045344805223,259.834618205978,6.246952521551633,False,5848,1144,100,684.09,655.475,711.05,4.5800791809671555,4.399559561305854,4.745996361651974,97.92275460543698,81.41631243623578,115.12653601467527,6.207145407612238,5.479350735216139,6.972472854516135,72.0,72.0
linear_distance,linear-distance sampling,0.5,0.07,2525498675,orf_copy_number,5848,1466,2.517396670478824,12.396283010769608,1.859786277767556,False,5848,1144,100,302.28,277.425,324.525,2.103330710026488,1.9246804537247302,2.254693706103447,8.225855827142418,6.854105138696266,9.532374900555617,1.8622082483849842,1.747912376205145,1.9644999245382926,74.0,74.0
linear_distance,linear-distance sampling,0.5,0.09,340349571,structural,5178,3635,6.413819376087363,610.2198951660125,11.802039278382106,False,5178,1144,100,808.99,784.0,833.05,5.342478374036977,5.196467631528898,5.492560932666679,209.71202213862466,180.63386625662,242.8799311233744,11.696110635736853,10.119438783390159,13.632871414314916,65.0,65.0
linear_distance,linear-distance sampling,0.5,0.09,340349571,orf_copy_number,5178,1730,3.2762583014690536,26.476519972892813,2.391517380895463,False,5178,1144,100,398.04,369.425,425.09999999999997,2.751852913190484,2.566920506462931,2.9315392974795116,15.74554886537172,13.0267083657209,18.757473167027985,2.3811448587543946,2.2111108336721674,2.5619396787547433,66.0,66.0
linear_distance,linear-distance sampling,0.5,0.1,3432696791,structural,4791,3576,6.720569940417187,829.2900227185706,16.4137643275619,False,4791,1144,100,858.36,836.95,879.0,5.634273419487273,5.501488206000016,5.746409882434071,280.44447682125644,245.06460877328962,313.06550625101744,16.07189255060619,13.713642091655625,18.340983097761445,61.0,58.0
linear_distance,linear-distance sampling,0.5,0.1,3432696791,orf_copy_number,4791,1769,3.5742992072747457,35.66961504801096,2.6840580940490484,False,4791,1144,100,441.93,412.475,466.09999999999997,3.04424320469868,2.861873246990957,3.1941850044327778,21.08005164150453,17.494305956108626,24.39238630423672,2.6919573737318516,2.491069597805804,2.8703171772739324,64.0,63.0
