model_key,model_name,alpha,p_event,seed,initialized_trajectories,sequential_steps,accepted_events,gate_passing_trajectories,gate_failing_trajectories,essentiality_gate_passing_fraction,essentiality_gate_failing_fraction,deletion_events,inversion_events,duplication_events,direct_hic_events,distance_fallback_events,uniform_events,structural_unique_endpoints_full_sample,structural_shannon_full_sample,structural_effective_shannon_full_sample,structural_inverse_simpson_full_sample,orf_unique_endpoints_full_sample,orf_shannon_full_sample,orf_effective_shannon_full_sample,orf_inverse_simpson_full_sample,top_missing_gate_genes,elapsed_seconds,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,pareto_optimal,passes_retention_0_50,passes_retention_0_70
linear_distance,linear-distance sampling,2.0,0.3,3171143693,10000,20,39247,3710,6290,0.371,0.629,17486,15795,5966,0,39247,0,3698,8.21037605744553,3678.925693562048,3580.67117585848,3250,7.688799418721434,2183.7512169456186,144.85781641373222,S000000325:266;S000000328:252;S000000313:247;S000000314:247;S000000394:245;S000000253:243;S000000242:239;S000000356:236;S000000357:236;S000000358:236;S000000359:236;S000000371:236;S000000396:236;S000000397:236;S000000233:234;S000000306:232;S000000295:231;S000000215:231;S000000208:229;S000000146:227,156.7210269999996,1138.1518626419572,1130.4594014800155,1143.999999999998,True,False,False
linear_distance,linear-distance sampling,1.5,0.03,2576302229,10000,20,5680,8776,1224,0.8776,0.1224,2539,2316,825,0,5680,0,2981,3.713365305827361,40.99152368036103,2.628173982549768,1307,1.8119698941390527,6.122496230346488,1.5153531019650588,S000000259:100;S000000233:99;S000000283:98;S000000284:98;S000000274:96;S000000291:95;S000000292:95;S000000293:95;S000000242:92;S000000313:92;S000000314:92;S000000253:91;S000000295:91;S000000371:89;S000000328:87;S000000400:84;S000000402:84;S000000306:84;S000000325:84;S000000396:83,92.65250860000016,19.74849864651716,16.212894176872606,23.860584549898398,False,True,True
linear_distance,linear-distance sampling,1.0,0.03,280539570,10000,20,5556,8436,1564,0.8436,0.1564,2434,2277,845,0,5556,0,2836,3.461468588355024,31.86373688333145,2.40009615750405,1200,1.5884007201514971,4.895912729291253,1.426522866128849,S000000313:247;S000000314:247;S000000325:245;S000000328:241;S000000242:240;S000000233:240;S000000253:238;S000000259:238;S000000306:237;S000000283:236;S000000284:236;S000000295:234;S000000274:233;S000000291:230;S000000292:230;S000000293:230;S000000340:216;S000000371:213;S000000344:209;S000000346:209,96.25635909999984,16.27404430773498,13.071644696648224,18.9567069426824,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.03,1713891987,10000,20,5505,8402,1598,0.8402,0.1598,2438,2269,798,4915,590,0,2722,3.411878567954862,30.322153014157383,2.3729282308378608,1079,1.5132572078891586,4.541499336618727,1.4054748084239934,S000000371:318;S000000242:298;S000000295:298;S000000215:295;S000000291:295;S000000292:295;S000000293:295;S000000233:293;S000000306:289;S000000328:289;S000000340:287;S000000100:287;S000000313:286;S000000314:286;S000000283:286;S000000284:286;S000000356:285;S000000357:285;S000000358:285;S000000359:285,98.9346504999994,15.56645594574281,13.404641540494374,19.34177573658774,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.03,3807846787,10000,20,5618,8388,1612,0.8388,0.1612,2438,2303,877,4498,1120,0,2808,3.4969470750731784,33.01450713682952,2.43686157044501,1155,1.5901943874444089,4.904702248202527,1.4305131931992368,S000000371:325;S000000295:302;S000000356:297;S000000357:297;S000000358:297;S000000359:297;S000000233:296;S000000242:296;S000000306:295;S000000253:295;S000000259:295;S000000274:294;S000000291:293;S000000292:293;S000000293:293;S000000283:289;S000000284:289;S000000340:285;S000000344:285;S000000346:285,58.08918529999937,16.912301881412848,14.254780474202697,20.21873952069489,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.03,3083522482,10000,20,5533,8349,1651,0.8349,0.1651,2422,2284,827,3126,2407,0,2751,3.4096731258987125,30.2553529515768,2.365596226736661,1107,1.5100716939399994,4.527055345114237,1.4016142920427128,S000000295:299;S000000306:297;S000000291:294;S000000292:294;S000000293:294;S000000328:291;S000000259:287;S000000313:287;S000000314:287;S000000242:286;S000000344:286;S000000346:286;S000000347:286;S000000274:285;S000000325:285;S000000253:283;S000000283:280;S000000284:280;S000000340:280;S000000215:273,56.97557500000039,15.753035780493697,13.218369673256529,18.81246532388455,False,True,True
linear_distance,linear-distance sampling,1.5,0.05,2692316041,10000,20,9001,8093,1907,0.8093,0.1907,3939,3671,1391,0,9001,0,4063,5.266397777251115,193.71689270112125,5.0208951985904,1798,2.791080590479821,16.298622425689082,2.019173542355719,S000000259:146;S000000306:138;S000000253:135;S000000313:134;S000000314:134;S000000242:134;S000000291:131;S000000292:131;S000000293:131;S000000295:131;S000000283:130;S000000284:130;S000000356:128;S000000357:128;S000000358:128;S000000359:128;S000000233:128;S000000274:125;S000000371:122;S000000208:121,125.44796230000064,70.71059158487346,58.787767390039164,82.93582921466259,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.03,1710054020,10000,20,5326,8084,1916,0.8084,0.1916,2360,2170,796,1316,4010,0,2535,3.1345201418240265,22.977607203474346,2.1641052044779787,975,1.2586834712763169,3.5207832225885176,1.314440928732144,S000000295:516;S000000306:515;S000000313:511;S000000314:511;S000000291:510;S000000292:510;S000000293:510;S000000283:507;S000000284:507;S000000328:506;S000000325:504;S000000344:496;S000000346:496;S000000347:496;S000000340:494;S000000274:491;S000000371:485;S000000356:484;S000000357:484;S000000358:484,53.21471940000083,12.629275078429128,10.508011416317192,14.604917042717268,False,True,True
linear_distance,linear-distance sampling,0.5,0.03,3697332404,10000,20,5456,8007,1993,0.8007,0.1993,2396,2166,894,0,5456,0,2561,3.1829263596145694,24.117226064186053,2.197612600394626,1035,1.3221865648674604,3.75161556622659,1.3334033741160911,S000000259:572;S000000291:572;S000000292:572;S000000293:572;S000000253:571;S000000242:568;S000000274:567;S000000295:567;S000000306:566;S000000313:565;S000000314:565;S000000283:563;S000000284:563;S000000233:540;S000000328:535;S000000325:534;S000000344:515;S000000346:515;S000000347:515;S000000215:512,96.96567630000028,12.969226527737964,10.666377523042735,15.468389555570528,False,True,True
linear_distance,linear-distance sampling,1.0,0.05,4156490522,10000,20,8752,7486,2514,0.7486,0.2514,3906,3533,1313,0,8752,0,3714,4.991925253396645,147.21958583628566,4.422754153972863,1628,2.473342047573584,11.862024129195456,1.8244283591746444,S000000274:436;S000000283:435;S000000284:435;S000000259:426;S000000253:419;S000000295:416;S000000291:414;S000000292:414;S000000293:414;S000000306:413;S000000313:413;S000000314:413;S000000325:397;S000000242:394;S000000328:390;S000000340:383;S000000344:382;S000000346:382;S000000347:382;S000000233:379,131.3275076,57.31774951690009,45.28896360716049,71.01698022460411,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.05,3032681791,10000,20,8774,7391,2609,0.7391,0.2609,3911,3567,1296,7806,968,0,3607,4.983727918692555,146.01771043378528,4.450053142191429,1497,2.4090048836171705,11.12288706883525,1.803694975948864,S000000371:540;S000000215:516;S000000325:514;S000000328:514;S000000356:511;S000000357:511;S000000358:511;S000000359:511;S000000242:502;S000000313:502;S000000314:502;S000000253:498;S000000344:498;S000000346:498;S000000347:498;S000000306:497;S000000208:495;S000000340:495;S000000295:493;S000000259:492,143.15566760000002,58.310228235926225,47.62099231505702,69.16354057011428,False,True,True
