model_key,model_name,alpha,p_event,seed,endpoint_type,sample_size,unique_endpoints,shannon_entropy,effective_shannon_diversity,inverse_simpson_diversity,sample_size_standardized
linear_distance,linear-distance sampling,1.5,0.05,2692316041,orf_copy_number,8093,1798,2.791080590479821,16.298622425689082,2.019173542355719,False
linear_distance,linear-distance sampling,1.5,0.07,1182193551,structural,7363,4585,6.307929493328046,548.907255283111,9.536935596824478,False
linear_distance,linear-distance sampling,1.5,0.07,1182193551,orf_copy_number,7363,2149,3.593125098454552,36.347488100961165,2.665875745192257,False
linear_distance,linear-distance sampling,1.5,0.09,2683194250,structural,6743,4938,7.100725637167722,1212.8468420052834,19.603831685238728,False
linear_distance,linear-distance sampling,1.5,0.09,2683194250,orf_copy_number,6743,2486,4.338977218351955,76.62912438231837,3.612343909578684,False
linear_distance,linear-distance sampling,1.5,0.1,140491699,structural,6433,5026,7.422582626480698,1673.3495688669034,29.69856062394732,False
linear_distance,linear-distance sampling,1.5,0.1,140491699,orf_copy_number,6433,2634,4.741213344307802,114.57313403673244,4.371082372746267,False
linear_distance,linear-distance sampling,1.5,0.12,2157732798,structural,5975,5030,7.765026962212014,2356.722030105563,55.30684692974914,False
linear_distance,linear-distance sampling,1.5,0.12,2157732798,orf_copy_number,5975,2744,5.18884992480267,179.26226924401848,5.607695476993692,False
linear_distance,linear-distance sampling,1.5,0.15,426479639,structural,5236,4760,8.081500014366267,3234.08076766583,163.77357228195942,False
linear_distance,linear-distance sampling,1.5,0.15,426479639,orf_copy_number,5236,2909,5.8694158192857016,354.0420952804265,8.77615124239489,False
linear_distance,linear-distance sampling,1.5,0.18,3754543510,structural,4593,4380,8.21010389390534,3677.924560363349,530.0281148714856,False
linear_distance,linear-distance sampling,1.5,0.18,3754543510,orf_copy_number,4593,2953,6.430278810933245,620.3468833969506,14.675019704059984,False
linear_distance,linear-distance sampling,1.5,0.2,770846889,structural,4289,4173,8.244999422649734,3808.5332591545225,1191.3425943915545,False
linear_distance,linear-distance sampling,1.5,0.2,770846889,orf_copy_number,4289,2986,6.721451369236478,830.0213050834755,20.49884610198653,False
linear_distance,linear-distance sampling,1.5,0.25,2950421996,structural,3311,3287,8.080701129325647,3231.4981406687784,2803.0480695474307,False
linear_distance,linear-distance sampling,1.5,0.25,2950421996,orf_copy_number,3311,2664,7.1375420209883815,1258.3316320343024,47.49652746186277,False
linear_distance,linear-distance sampling,1.5,0.3,2308636446,structural,2658,2648,7.875405669671693,2631.7535963947835,2552.3713872832373,False
linear_distance,linear-distance sampling,1.5,0.3,2308636446,orf_copy_number,2658,2331,7.323848956280115,1516.0278796142943,109.35122585438342,False
linear_distance,linear-distance sampling,2.0,0.03,624955490,structural,9086,2990,3.882446771870261,48.54284314735845,2.8243003821913004,False
linear_distance,linear-distance sampling,2.0,0.03,624955490,orf_copy_number,9086,1302,2.0034645143785754,7.414699986187564,1.6093231323276198,False
linear_distance,linear-distance sampling,2.0,0.05,2715674654,structural,8555,4164,5.4730345459916885,238.18187106650416,5.681866438298998,False
linear_distance,linear-distance sampling,2.0,0.05,2715674654,orf_copy_number,8555,1825,2.996060105174375,20.006557707260846,2.181977056931104,False
linear_distance,linear-distance sampling,2.0,0.07,308999449,structural,7988,4977,6.611998608712628,743.9684356359561,11.951346621234864,False
linear_distance,linear-distance sampling,2.0,0.07,308999449,orf_copy_number,7988,2254,3.909737980015206,49.88587916351408,3.067426406785935,False
linear_distance,linear-distance sampling,2.0,0.09,3011066200,structural,7424,5340,7.2669827173693236,1432.22250690837,22.84226275091322,False
linear_distance,linear-distance sampling,2.0,0.09,3011066200,orf_copy_number,7424,2608,4.608833330874811,100.3669862401856,4.159423166351491,False
linear_distance,linear-distance sampling,2.0,0.1,4101281670,structural,7285,5604,7.592968756476786,1984.195371384643,34.522158525059055,False
linear_distance,linear-distance sampling,2.0,0.1,4101281670,orf_copy_number,7285,2804,4.970955276512005,144.16453861055246,4.989470364010456,False
linear_distance,linear-distance sampling,2.0,0.12,4216611858,structural,6805,5715,7.9871007245992285,2942.752728832876,73.95805883358173,False
linear_distance,linear-distance sampling,2.0,0.12,4216611858,orf_copy_number,6805,3043,5.458338370349413,234.7071038879824,6.556560783581366,False
linear_distance,linear-distance sampling,2.0,0.15,3319947148,structural,6173,5672,8.350449915198029,4232.084393946144,279.268657153955,False
linear_distance,linear-distance sampling,2.0,0.15,3319947148,orf_copy_number,6173,3379,6.22391383237627,504.674583458474,11.33913681828096,False
linear_distance,linear-distance sampling,2.0,0.18,1764842416,structural,5557,5335,8.440222318993207,4629.584114636227,785.5371015746225,False
linear_distance,linear-distance sampling,2.0,0.18,1764842416,orf_copy_number,5557,3527,6.735701874417825,841.934208838258,18.481726998126103,False
linear_distance,linear-distance sampling,2.0,0.2,212422559,structural,5255,5119,8.456264466938192,4704.451499166669,1481.4132825492195,False
linear_distance,linear-distance sampling,2.0,0.2,212422559,orf_copy_number,5255,3653,7.084178708695114,1192.9430792684086,28.56554345858441,False
linear_distance,linear-distance sampling,2.0,0.25,1281578188,structural,4468,4433,8.377241181102432,4346.999783144,3568.649267071863,False
linear_distance,linear-distance sampling,2.0,0.25,1281578188,orf_copy_number,4468,3580,7.54010889856926,1882.0349649186408,71.66610663564951,False
linear_distance,linear-distance sampling,2.0,0.3,3171143693,structural,3710,3698,8.21037605744553,3678.925693562048,3580.67117585848,False
linear_distance,linear-distance sampling,2.0,0.3,3171143693,orf_copy_number,3710,3250,7.688799418721434,2183.7512169456186,144.85781641373222,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.03,1710054020,structural,8084,2535,3.1345201418240265,22.977607203474346,2.1641052044779787,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.03,1710054020,orf_copy_number,8084,975,1.2586834712763169,3.5207832225885176,1.314440928732144,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.05,2452768872,structural,6981,3319,4.637769554729686,103.3136549522292,3.801440221441967,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.05,2452768872,orf_copy_number,6981,1358,2.019632603418465,7.53555588755098,1.6010498438467238,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.07,1291112168,structural,6098,3650,5.665395115434599,288.70202921179174,6.560320803915139,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.07,1291112168,orf_copy_number,6098,1612,2.690292801969418,14.735990015721878,1.9541455643219008,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.09,1982738802,structural,5276,3749,6.515745940194525,675.697803732882,12.754366817229185,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.09,1982738802,orf_copy_number,5276,1777,3.4076959526061894,30.195591974137542,2.514262632744027,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.1,3581944228,structural,4993,3743,6.793494682402262,892.0254668049837,17.180139577161288,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.1,3581944228,orf_copy_number,4993,1872,3.699641494456176,40.43280637618066,2.806571642694524,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.12,2199721088,structural,4218,3444,7.1498313305504055,1273.8910705460148,30.77798844410613,False
