model_key,alpha,p_event,seed,endpoint_type,original_survivor_depth,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,unique_endpoints_ci_low,unique_endpoints_ci_high,shannon_entropy_mean,shannon_entropy_ci_low,shannon_entropy_ci_high,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,inverse_simpson_diversity_mean,inverse_simpson_diversity_ci_low,inverse_simpson_diversity_ci_high
linear_distance,0.5,0.03,3697332404,orf_copy_number,8007,1144,100,151.01,131.475,172.52499999999998,1.0505238540702972,0.9162414787476362,1.1966635043199187,2.866803341153207,2.4998831816780234,3.309058432406272,1.3272043140256042,1.2763928342041728,1.3849689131356329
linear_distance,0.5,0.03,3697332404,structural,8007,1144,100,372.62,344.475,400.09999999999997,2.5576446504816372,2.367096323448546,2.7387426702815136,12.969226527737964,10.666377523042735,15.468389555570528,2.1999498086016893,2.043798105417046,2.359943688534885
linear_distance,0.5,0.05,1368124422,orf_copy_number,6889,1144,100,237.48,214.325,258.525,1.6551490709980496,1.5047695629432234,1.7990672373520646,5.253259284650429,4.503513167910514,6.044007367798224,1.5994446319026259,1.5239849249800232,1.6779463691219527
linear_distance,0.5,0.05,1368124422,structural,6889,1144,100,544.13,510.9,570.5749999999999,3.6907449353993784,3.470866150763099,3.8647780715070854,40.27157473741078,32.1657033169977,47.69276547884172,3.6478902123745938,3.2615384155078275,3.9929601113414503
linear_distance,0.5,0.07,2525498675,orf_copy_number,5848,1144,100,302.28,277.425,324.525,2.103330710026488,1.9246804537247302,2.254693706103447,8.225855827142418,6.854105138696266,9.532374900555617,1.8622082483849842,1.747912376205145,1.9644999245382926
linear_distance,0.5,0.07,2525498675,structural,5848,1144,100,684.09,655.475,711.05,4.5800791809671555,4.399559561305854,4.745996361651974,97.92275460543698,81.41631243623578,115.12653601467527,6.207145407612238,5.479350735216139,6.972472854516135
linear_distance,0.5,0.09,340349571,orf_copy_number,5178,1144,100,398.04,369.425,425.09999999999997,2.751852913190484,2.566920506462931,2.9315392974795116,15.74554886537172,13.0267083657209,18.757473167027985,2.3811448587543946,2.2111108336721674,2.5619396787547433
linear_distance,0.5,0.09,340349571,structural,5178,1144,100,808.99,784.0,833.05,5.342478374036977,5.196467631528898,5.492560932666679,209.71202213862466,180.63386625662,242.8799311233744,11.696110635736853,10.119438783390159,13.632871414314916
linear_distance,0.5,0.1,3432696791,orf_copy_number,4791,1144,100,441.93,412.475,466.09999999999997,3.04424320469868,2.861873246990957,3.1941850044327778,21.08005164150453,17.494305956108626,24.39238630423672,2.6919573737318516,2.491069597805804,2.8703171772739324
linear_distance,0.5,0.1,3432696791,structural,4791,1144,100,858.36,836.95,879.0,5.634273419487273,5.501488206000016,5.746409882434071,280.44447682125644,245.06460877328962,313.06550625101744,16.07189255060619,13.713642091655625,18.340983097761445
linear_distance,0.5,0.12,2826128352,orf_copy_number,4151,1144,100,507.87,486.475,533.525,3.4792388707557,3.3493526455771083,3.6377456570114153,32.554126863075915,28.48428898708866,38.00606833886947,3.2883271592953403,3.0844223984778187,3.5467777907669706
linear_distance,0.5,0.12,2826128352,structural,4151,1144,100,933.33,913.475,954.525,6.057069620133116,5.952107638500742,6.168244949948886,427.93235688042813,384.5632869765704,477.3493777060598,29.20333422117528,24.526490801815836,35.14939037420782
linear_distance,0.5,0.15,3791611920,orf_copy_number,3381,1144,100,588.41,563.95,614.05,4.001991622833532,3.8384881641632664,4.164034637377533,54.90763802951016,46.45523392437841,64.33116726023293,4.329879510308576,3.9442614815704444,4.746875928812651
linear_distance,0.5,0.15,3791611920,structural,3381,1144,100,1009.06,995.0,1025.575,6.46017350439519,6.3852972784830655,6.545011346683874,639.7540708771472,593.0610106731261,695.7958644836515,68.25208923171418,55.70511619988086,86.36992492568149
linear_distance,0.5,0.18,732349602,orf_copy_number,2680,1144,100,686.38,665.475,711.525,4.618063838943076,4.4932584313445805,4.756682957085961,101.55520260036116,89.4134505212741,116.362030673864,6.393203547570933,5.855272752205841,7.037015745306497
linear_distance,0.5,0.18,732349602,structural,2680,1144,100,1067.43,1055.475,1080.0,6.749936791417457,6.694147616361033,6.8101372858293905,854.4250695118442,807.6675136367037,906.9965406805161,191.0006454684948,147.15595533103738,256.0049594010028
linear_distance,0.5,0.2,2160132656,orf_copy_number,2406,1144,100,729.17,712.0,749.0,4.879084312065534,4.772343552518529,5.004237434389117,131.7789752369942,118.19612278281929,149.04363400250213,7.767500682668729,7.131949282473818,8.58431446181736
linear_distance,0.5,0.2,2160132656,structural,2406,1144,100,1083.66,1073.475,1095.0,6.821357545957784,6.775313393834825,6.871306145478722,917.4972837573544,875.9561562469039,964.2071384880674,273.52143301699755,211.50480353254062,364.14468558708967
linear_distance,0.5,0.25,1175439774,orf_copy_number,1582,1144,100,836.71,821.0,851.05,5.516815258667556,5.432759789244575,5.604821600303348,249.08933668148777,228.77981154752834,271.7336429524789,14.039304645063389,12.794287592777401,15.508941668374755
linear_distance,0.5,0.25,1175439774,structural,1582,1144,100,1118.72,1114.475,1124.0,6.967074778350052,6.951066587637573,6.986398959359155,1061.1659201235357,1044.2648741134806,1081.8187801264444,724.9472668431415,639.9497825730971,836.7877237851661
linear_distance,0.5,0.3,3346694520,orf_copy_number,1144,1144,100,937.0,937.0,937.0,6.093411796458025,6.093411796458027,6.093411796458027,442.9300232282974,442.93002322829733,442.93002322829733,31.042125237191616,31.042125237191616,31.042125237191616
linear_distance,0.5,0.3,3346694520,structural,1144,1144,100,1139.0,1139.0,1139.0,7.032888832066169,7.032888832066169,7.032888832066169,1133.2997986435082,1133.2997986435084,1133.2997986435084,1114.7666098807495,1114.7666098807492,1114.7666098807492
linear_distance,1.0,0.03,280539570,orf_copy_number,8436,1144,100,182.36,161.9,207.04999999999998,1.284388317726433,1.1320999241513343,1.4403897917929616,3.6265142463238975,3.1024583884836736,4.222342103352981,1.4246926327235188,1.3594260673333758,1.4934607401650073
linear_distance,1.0,0.03,280539570,structural,8436,1144,100,405.13,372.95,430.0,2.7850922161882905,2.5702795034327575,2.9421574066142155,16.27404430773498,13.071644696648224,18.9567069426824,2.410313257727786,2.2109021579799495,2.5687653022754366
linear_distance,1.0,0.05,4156490522,orf_copy_number,7486,1144,100,287.01,263.425,317.575,2.0327797917293697,1.857443568825091,2.241024018105519,7.6689238728226385,6.40920113613652,9.403207866293128,1.821524739967071,1.7119689336868855,1.9599123437810877
linear_distance,1.0,0.05,4156490522,structural,7486,1144,100,595.97,562.375,630.0,4.042209376893759,3.8130309253484773,4.2629027132687245,57.31774951690009,45.28896360716049,71.01698022460411,4.432513897597525,3.890146403069486,5.03993410509407
linear_distance,1.0,0.07,1740433454,orf_copy_number,6733,1144,100,374.51,349.0,401.04999999999995,2.62744548014677,2.4576458317619303,2.7992033538837986,13.903515869484915,11.677332716774009,16.431692909085015,2.272182416759895,2.125050403667746,2.430709643361949
linear_distance,1.0,0.07,1740433454,structural,6733,1144,100,739.56,715.425,764.05,4.940713054334983,4.798846637552149,5.098141938856221,140.38210244556888,121.37070834450502,163.72606890036565,8.172503578259954,7.284425998607947,9.307012563082866
linear_distance,1.0,0.09,1595675989,orf_copy_number,5895,1144,100,463.14,433.0,487.67499999999995,3.230140342444342,3.0266209622260694,3.387059554597491,25.37918160935818,20.62928065419179,29.579600383481413,2.9381271643775047,2.6828715480288405,3.161852416223456
linear_distance,1.0,0.09,1595675989,structural,5895,1144,100,843.92,825.0,864.525,5.561812357617207,5.452258328377091,5.670815922585723,260.84754938380024,233.284404264585,290.27163537504657,14.816062533089477,13.078989446754083,16.806543247337054
linear_distance,1.0,0.1,3958821903,orf_copy_number,5578,1144,100,500.86,472.425,528.05,3.4998063645707607,3.332708820274333,3.6954280357627955,33.26636750116402,28.0187343843509,40.26368516740817,3.348565015177561,3.087874276096138,3.691937276678244
linear_distance,1.0,0.1,3958821903,structural,5578,1144,100,891.57,863.475,910.05,5.836835600573782,5.693224472912072,5.946230429015225,343.51043134875977,296.8494021070269,382.3105965964513,20.983950427206537,17.288827308872143,24.522033197297873
linear_distance,1.0,0.12,2778378777,orf_copy_number,4985,1144,100,581.27,552.475,609.0999999999999,4.027675618482686,3.8430810045658834,4.2095268447263505,56.37362047422012,46.669117598966686,67.32523963156727,4.43971164682259,3.9924935745237384,4.9409831753367435
linear_distance,1.0,0.12,2778378777,structural,4985,1144,100,970.44,949.0,990.525,6.2687539578137095,6.160469111695475,6.378227926028807,528.727083285881,473.65056449274516,588.8833373502196,43.75395670940121,34.953595116856,55.35218231711107
linear_distance,1.0,0.15,1037225636,orf_copy_number,4048,1144,100,688.44,655.85,716.5749999999999,4.710144147802463,4.5368784174085315,4.858679062439084,111.47944553531032,93.4171744972912,128.8541508162822,6.943815491141619,6.146943398561215,7.751139315519668
linear_distance,1.0,0.15,1037225636,structural,4048,1144,100,1045.67,1031.475,1060.0,6.650320302670083,6.582652936391626,6.717588034999801,773.4961651440152,722.4623887187109,826.822126284713,126.02317505137574,97.91237668963728,162.95919313832306
linear_distance,1.0,0.18,1673311115,orf_copy_number,3477,1144,100,753.66,729.475,777.0,5.111056648324381,4.951232520447071,5.232264811016601,166.3054780153136,141.34973713333522,187.21655911028935,9.62412072357466,8.34348644756823,10.827392109826373
linear_distance,1.0,0.18,1673311115,structural,3477,1144,100,1084.15,1069.0,1096.0,6.826218291476647,6.756215136849106,6.8765589062119625,922.1200584372242,859.3846537863067,969.2856238824389,284.7611119690288,193.23146762078525,379.6641598119859
linear_distance,1.0,0.2,3518261095,orf_copy_number,3066,1144,100,798.11,775.475,822.05,5.370333145800183,5.2233834463586675,5.504323642592308,215.57998002893797,185.58552283913986,245.75995940623733,12.3313536100437,10.603550031575306,14.172401633628455
linear_distance,1.0,0.2,3518261095,structural,3066,1144,100,1098.64,1088.0,1107.525,6.890544940304028,6.845536431245281,6.927730694695798,983.2037896592926,939.6783978419644,1020.1764462008687,424.52110840335183,313.5446245828512,543.7322027158019
linear_distance,1.0,0.25,92951844,orf_copy_number,2370,1144,100,893.48,876.0,911.05,5.889591919679742,5.775256695408455,5.989626725520431,361.7868238044986,322.2275441343644,399.2683861894633,22.950853322676235,19.464934302036166,26.6414691286738
linear_distance,1.0,0.25,92951844,structural,2370,1144,100,1129.48,1123.475,1135.0,7.004800687587573,6.984532105809865,7.022158679868117,1101.968276559338,1079.8027693992515,1121.2043284878296,953.3078270065245,825.2988263322004,1060.5640194489463
linear_distance,1.0,0.3,1561271711,orf_copy_number,1682,1144,100,988.67,975.475,1001.05,6.413643368927978,6.344977302689583,6.48258120212335,610.4365050091659,569.6245607191952,653.6572748450798,63.0129909009298,52.5710840260132,75.67865532754557
linear_distance,1.0,0.3,1561271711,structural,1682,1144,100,1138.85,1136.0,1141.525,7.0323689630534325,7.025000314250908,7.038471247428571,1132.7178406708758,1124.394912347227,1139.6445898043455,1111.424777247966,1076.2631578947364,1135.2256043327814
linear_distance,1.5,0.03,2576302229,orf_copy_number,8776,1144,100,207.32,186.0,228.52499999999998,1.4740417677570383,1.3120379784814138,1.6290561652579114,4.382005688319311,3.713749351267443,5.099215165866709,1.5123238389159939,1.4360951572313434,1.5889116264895888
linear_distance,1.5,0.03,2576302229,structural,8776,1144,100,430.09,399.95,459.09999999999997,2.9771701070224337,2.785803182999839,3.172173325292883,19.74849864651716,16.212894176872606,23.860584549898398,2.619441448199361,2.4172032882605103,2.8489091866757543
linear_distance,1.5,0.05,2692316041,orf_copy_number,8093,1144,100,322.33,296.95,345.525,2.3130418545394633,2.132735813760272,2.4804703858218167,10.14583134002698,8.438186791549134,11.948102845886858,2.0210939914866692,1.8894615100398966,2.1531863650635725
linear_distance,1.5,0.05,2692316041,structural,8093,1144,100,625.86,598.0,653.05,4.25373124348437,4.0739213081707915,4.418043537281487,70.71059158487346,58.787767390039164,82.93582921466259,5.041803749134292,4.503145943622022,5.571943564887524
linear_distance,1.5,0.07,1182193551,orf_copy_number,7363,1144,100,422.52,398.475,443.04999999999995,3.0210154910163634,2.851358661319388,3.157718151883454,20.58081988603275,17.311296872176474,23.516980185754417,2.6931540451796034,2.497811764954568,2.873856097535126
linear_distance,1.5,0.07,1182193551,structural,7363,1144,100,763.39,738.475,788.525,5.1137794026583165,4.955151370161363,5.281470455344554,166.89697235546532,141.90540075142607,196.65958685052792,9.531279361923913,8.240510037673912,11.143867461848432
linear_distance,1.5,0.09,2683194250,orf_copy_number,6743,1144,100,510.67,478.425,545.0,3.624283120853316,3.4176528509187185,3.8449260399231093,37.71348790750238,30.498052022981398,46.75540911233439,3.5931641338033278,3.2404865992150613,4.0341824923285845
linear_distance,1.5,0.09,2683194250,structural,6743,1144,100,876.46,851.0,897.05,5.7723407709159416,5.618763295857784,5.873665749412441,322.07939959030364,275.55858406012584,355.5518183387116,19.375287345474067,15.822378113517212,22.189749352719723
linear_distance,1.5,0.1,140491699,orf_copy_number,6433,1144,100,563.46,537.425,593.675,3.9851730775080862,3.8143073019140648,4.174474390555639,54.02801535691292,45.345499428725915,65.00702329651631,4.377588723828062,3.9709297574183604,4.883396148275752
linear_distance,1.5,0.1,140491699,structural,6433,1144,100,928.22,902.375,951.625,6.057163777965696,5.904547068289071,6.181758635266776,428.1826221823945,366.71827568092226,483.8518621334868,29.66280112123989,23.008457153537037,36.61478852701564
linear_distance,1.5,0.12,2157732798,orf_copy_number,5975,1144,100,624.41,594.95,655.05,4.388301892489745,4.233657605915174,4.5719038474462455,80.83747771912013,68.96903406074094,96.73014738238008,5.622371688592593,5.086561035050329,6.354690852124066
linear_distance,1.5,0.12,2157732798,structural,5975,1144,100,986.33,962.95,1002.0,6.363104841412007,6.23843140861533,6.432357826590059,580.7597570789394,512.0811601660054,621.6391628613638,54.267740026233184,40.922685867654806,63.933803661388566
linear_distance,1.5,0.15,426479639,orf_copy_number,5236,1144,100,720.74,697.475,742.0,4.973064347986131,4.840629354464131,5.106619875664487,144.87713550235287,126.55056682884975,165.11946857590442,8.656357293717685,7.7269810562898895,9.7133133950378
linear_distance,1.5,0.15,426479639,structural,5236,1144,100,1053.59,1036.85,1068.0,6.694599342052329,6.614213364709193,6.763884909029416,808.6229849996415,745.6415593179206,866.009235985446,152.31214739006316,110.2295974739789,204.53853456752435
linear_distance,1.5,0.18,3754543510,orf_copy_number,4593,1144,100,810.13,783.375,832.5749999999999,5.509658543914632,5.359573021288761,5.629096962494752,247.63653611558948,212.70164370922208,278.4183965730965,14.613635776723338,12.42618213434244,16.672047063741278
