model_key,model_name,alpha,p_event,seed,pearson_r,spearman_r,rmse,hotspot_auroc_top10_within_chromosome,hotspot_auprc_top10_within_chromosome,hotspot_positive_fraction,n_sites
linear_distance,linear-distance sampling,0.5,0.03,3697332404,0.37950139462093363,0.14582299848983918,0.013916897198600354,0.5172196920407721,0.12230961332441538,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.05,1368124422,0.4135734266980223,0.12523180833225903,0.013668590679802152,0.5279115159401432,0.13272480016402635,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.07,2525498675,0.3886246476000011,0.11525575957552245,0.013838950661809159,0.49271307742355236,0.11737738321158511,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.09,340349571,0.3703463340039247,0.12040301880672807,0.013963895960827795,0.502081977878985,0.12206579410294147,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.1,3432696791,0.402373568476441,0.12381169419440906,0.013743065464972537,0.5018651051832574,0.12297571214466052,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.12,2826128352,0.4123831890509826,0.12466799110959637,0.013672669639774239,0.5232053784428541,0.13463133417125464,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.15,3791611920,0.3809818886499943,0.14977848041383082,0.013887472869939597,0.5322489698546953,0.1252178136760423,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.18,732349602,0.3863369947987719,0.11802309232623259,0.013849716016089525,0.5144003469963132,0.1221200791424566,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.2,2160132656,0.3913988809148132,0.12951213593300212,0.013814718092862117,0.5036000867490783,0.11721315434766909,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.25,1175439774,0.4038393400777478,0.13253779656681963,0.01373061803543738,0.5283669486011711,0.12991162931049918,0.10860655737704918,488
linear_distance,linear-distance sampling,0.5,0.3,3346694520,0.40402610746100187,0.1243866888627997,0.013728850748135494,0.5085664714812405,0.12634513649445994,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.03,280539570,0.42581303872598647,0.15988048033892294,0.01358139243375595,0.5374972890913035,0.1365173017623984,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.05,4156490522,0.3671477745587657,0.12538531437300032,0.013988511575656438,0.4947950553025374,0.12887664433252505,0.10860655737704918,488
